Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Gabon,GA
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Gabon,GA
2023-03-23,Ramadan Start,['Observance'],Gabon,GA
2023-04-09,Easter Sunday,['National holiday'],Gabon,GA
2023-04-10,Easter Monday,['National holiday'],Gabon,GA
2023-04-17,Women's Rights Day,['National holiday'],Gabon,GA
2023-04-21,Eid al-Fitr,['National holiday'],Gabon,GA
2023-05-01,Labour Day,['National holiday'],Gabon,GA
2023-05-14,Mother's Day,['Observance'],Gabon,GA
2023-05-18,Ascension Day,['National holiday'],Gabon,GA
2023-05-29,Whit Monday,['National holiday'],Gabon,GA
2023-06-18,Father's Day,['Observance'],Gabon,GA
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Gabon,GA
2023-06-28,Eid al-Adha,['National holiday'],Gabon,GA
2023-08-15,Assumption of Mary,['National holiday'],Gabon,GA
2023-08-16,Independence Day,['National holiday'],Gabon,GA
2023-08-17,Independence Day,['National holiday'],Gabon,GA
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Gabon,GA
2023-11-01,All Saints' Day,['National holiday'],Gabon,GA
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Gabon,GA
2023-12-25,Christmas Day,['National holiday'],Gabon,GA
