Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Gambia,GM
2023-01-02,Day off for New Year,['National holiday'],Gambia,GM
2023-02-18,Independence Day,['National holiday'],Gambia,GM
2023-02-20,Day off for Independence Day,['National holiday'],Gambia,GM
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Gambia,GM
2023-03-23,Ramadan Start,['Observance'],Gambia,GM
2023-04-07,Good Friday,['National holiday'],Gambia,GM
2023-04-10,Easter Monday,['National holiday'],Gambia,GM
2023-04-17,Lailat al-Qadr,['National holiday'],Gambia,GM
2023-04-21,Eid al-Fitr,['National holiday'],Gambia,GM
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Gambia,GM
2023-05-01,Labour Day,['National holiday'],Gambia,GM
2023-05-20,Election Day Holiday,['National holiday'],Gambia,GM
2023-05-25,Africa Day,['National holiday'],Gambia,GM
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Gambia,GM
2023-06-28,Eid al-Adha,['National holiday'],Gambia,GM
2023-07-22,Revolution Day,['National holiday'],Gambia,GM
2023-07-28,Ashura,['National holiday'],Gambia,GM
2023-08-15,Assumption of Mary,['National holiday'],Gambia,GM
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Gambia,GM
2023-09-27,The Prophet's Birthday,['National holiday'],Gambia,GM
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Gambia,GM
2023-12-25,Christmas Day,['National holiday'],Gambia,GM
