Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Georgia,GE
2023-01-02,New Year's (Day 2),['National holiday'],Georgia,GE
2023-01-07,Orthodox Christmas Day,"['National holiday', 'Orthodox']",Georgia,GE
2023-01-19,Orthodox Epiphany,"['National holiday', 'Orthodox']",Georgia,GE
2023-02-14,Valentine's Day,['Observance'],Georgia,GE
2023-03-03,Mothers' Day,['National holiday'],Georgia,GE
2023-03-08,International Women's Day,['National holiday'],Georgia,GE
2023-03-21T01:24:20+04:00,March Equinox,['Season'],Georgia,GE
2023-03-21,Nowruz,['Observance'],Georgia,GE
2023-04-09,Independence Restoration Day,['National holiday'],Georgia,GE
2023-04-14,Orthodox Good Friday,"['National holiday', 'Orthodox']",Georgia,GE
2023-04-15,Orthodox Holy Saturday,"['National holiday', 'Orthodox']",Georgia,GE
2023-04-16,Orthodox Easter Sunday,"['National holiday', 'Orthodox']",Georgia,GE
2023-04-17,Orthodox Easter Monday,"['National holiday', 'Orthodox']",Georgia,GE
2023-05-09,Victory Day,['National holiday'],Georgia,GE
2023-05-12,St Andrew's Day,['National holiday'],Georgia,GE
2023-05-26,Independence Day,['National holiday'],Georgia,GE
2023-06-18,Fathers' Day,['Observance'],Georgia,GE
2023-06-21T18:57:49+04:00,June Solstice,['Season'],Georgia,GE
2023-08-28,Day of the Assumption of Mary,['National holiday'],Georgia,GE
2023-09-23T10:50:01+04:00,September Equinox,['Season'],Georgia,GE
2023-10-14,Svetitskhovloba,['National holiday'],Georgia,GE
2023-11-23,St George's Day,['National holiday'],Georgia,GE
2023-12-22T07:27:21+04:00,December Solstice,['Season'],Georgia,GE
2023-12-31,New Year's Eve,['Observance'],Georgia,GE
