Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Ghana,GH
2023-01-07,Constitution Day,['National holiday'],Ghana,GH
2023-01-09,Constitution Day observed,['National holiday'],Ghana,GH
2023-03-06,Independence Day,['National holiday'],Ghana,GH
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Ghana,GH
2023-03-23,Ramadan Start,['Observance'],Ghana,GH
2023-04-07,Good Friday,['National holiday'],Ghana,GH
2023-04-08,Holy Saturday,"['Observance', 'Christian']",Ghana,GH
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Ghana,GH
2023-04-10,Easter Monday,['National holiday'],Ghana,GH
2023-04-22,Eid ul-Fitr,['National holiday'],Ghana,GH
2023-04-24,Eid ul-Fitr Holiday,['National holiday'],Ghana,GH
2023-05-01,May Day,['National holiday'],Ghana,GH
2023-05-14,Mothers' Day,['Observance'],Ghana,GH
2023-05-25,African Union Day,['Observance'],Ghana,GH
2023-06-18,Fathers' Day,['Observance'],Ghana,GH
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Ghana,GH
2023-06-28,Eid al-Adha,['National holiday'],Ghana,GH
2023-07-01,Republic Day,['Observance'],Ghana,GH
2023-08-04,Founders' Day,['National holiday'],Ghana,GH
2023-09-21,Kwame Nkrumah Memorial Day,['National holiday'],Ghana,GH
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Ghana,GH
2023-12-01,Farmer's Day,['National holiday'],Ghana,GH
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Ghana,GH
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Ghana,GH
2023-12-25,Christmas Day,['National holiday'],Ghana,GH
2023-12-26,Boxing Day,['National holiday'],Ghana,GH
2023-12-31,New Year's Eve,['Observance'],Ghana,GH
