Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Gibraltar,GI
2023-01-02,New Year's Day observed,['National holiday'],Gibraltar,GI
2023-02-14,Valentine's Day,['Observance'],Gibraltar,GI
2023-02-20,Winter Midterm Bank Holiday,['National holiday'],Gibraltar,GI
2023-03-19,Mothers' Day,['Observance'],Gibraltar,GI
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Gibraltar,GI
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Gibraltar,GI
2023-04-07,Good Friday,['National holiday'],Gibraltar,GI
2023-04-09,Easter Sunday,['Observance'],Gibraltar,GI
2023-04-10,Easter Monday,['National holiday'],Gibraltar,GI
2023-04-28,Workers' Memorial Day,['National holiday'],Gibraltar,GI
2023-05-01,May Day,['National holiday'],Gibraltar,GI
2023-05-08,Special King's Coronation Bank Holiday,['National holiday'],Gibraltar,GI
2023-05-29,Spring Bank Holiday,['National holiday'],Gibraltar,GI
2023-06-18,Father's Day,['Observance'],Gibraltar,GI
2023-06-19,King's Birthday Holiday,['National holiday'],Gibraltar,GI
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Gibraltar,GI
2023-08-28,Late Summer Bank Holiday,['National holiday'],Gibraltar,GI
2023-09-10,Gibraltar Day,['National holiday'],Gibraltar,GI
2023-09-11,Gibraltar Day observed,['National holiday'],Gibraltar,GI
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Gibraltar,GI
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Gibraltar,GI
2023-10-31,Halloween,['Observance'],Gibraltar,GI
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Gibraltar,GI
2023-12-24,Christmas Eve,['Observance'],Gibraltar,GI
2023-12-25,Christmas Day,['National holiday'],Gibraltar,GI
2023-12-26,Boxing Day,['National holiday'],Gibraltar,GI
2023-12-31,New Year's Eve,['Observance'],Gibraltar,GI
