Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Greece,GR
2023-01-06,Epiphany,['National holiday'],Greece,GR
2023-01-30,The Three Holy Hierarchs,['Observance'],Greece,GR
2023-02-14,Valentine's Day,['Observance'],Greece,GR
2023-02-27,Clean Monday,['National holiday'],Greece,GR
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Greece,GR
2023-03-25,Greek Independence Day,['National holiday'],Greece,GR
2023-03-25,Annunciation of the Virgin Mary,['National holiday'],Greece,GR
2023-04-14,Orthodox Good Friday,['National holiday'],Greece,GR
2023-04-16,Orthodox Easter Sunday,['Observance'],Greece,GR
2023-04-17,Orthodox Easter Monday,['National holiday'],Greece,GR
2023-05-01,Labor Day / May Day,['National holiday'],Greece,GR
2023-05-14,Mother’s Day,['Observance'],Greece,GR
2023-06-04,Orthodox Holy Spirit Sunday,['Observance'],Greece,GR
2023-06-05,Orthodox Holy Spirit Monday,['National holiday'],Greece,GR
2023-06-18,Father's Day,['Observance'],Greece,GR
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Greece,GR
2023-07-24,The Restoration of Democracy,['Observance'],Greece,GR
2023-08-15,Dormition of the Holy Virgin,['National holiday'],Greece,GR
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Greece,GR
2023-10-28,The Ochi day,['National holiday'],Greece,GR
2023-11-17,Polytechneio,['Observance'],Greece,GR
2023-11-21,Armed Forces Day,['Observance'],Greece,GR
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Greece,GR
2023-12-25,Christmas Day,['National holiday'],Greece,GR
2023-12-26,Synaxis of the Mother of God,['National holiday'],Greece,GR
