Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Grenada,GD
2023-01-02,Day off for New Year,['National holiday'],Grenada,GD
2023-02-07,Independence Day,['National holiday'],Grenada,GD
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Grenada,GD
2023-04-07,Good Friday,['National holiday'],Grenada,GD
2023-04-09,Easter Sunday,['Observance'],Grenada,GD
2023-04-10,Easter Monday,['National holiday'],Grenada,GD
2023-05-01,Labour Day,['National holiday'],Grenada,GD
2023-05-14,Mother's Day,['Observance'],Grenada,GD
2023-05-29,Whit Monday,['National holiday'],Grenada,GD
2023-06-08,Corpus Christi,['National holiday'],Grenada,GD
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Grenada,GD
2023-07-04,50th Anniversary of CARICOM Holiday,['National holiday'],Grenada,GD
2023-08-07,Emancipation Day,['National holiday'],Grenada,GD
2023-08-14,Carnival (First Day),['National holiday'],Grenada,GD
2023-08-15,Carnival (Second Day),['National holiday'],Grenada,GD
2023-09-01,Kirani Day,['Observance'],Grenada,GD
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Grenada,GD
2023-10-19,Maurice Bishop Day,['National holiday'],Grenada,GD
2023-10-25,Thanksgiving,['National holiday'],Grenada,GD
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Grenada,GD
2023-12-25,Christmas Day,['National holiday'],Grenada,GD
2023-12-26,Boxing Day,['National holiday'],Grenada,GD
