Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Guadeloupe,GP
2023-02-20,Carnival / Shrove Monday,['De facto holiday'],Guadeloupe,GP
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['De facto holiday'],Guadeloupe,GP
2023-02-22,Carnival / Ash Wednesday,['De facto holiday'],Guadeloupe,GP
2023-03-16,Mid Lent Thursday,['De facto holiday'],Guadeloupe,GP
2023-04-10,Easter Monday,['National holiday'],Guadeloupe,GP
2023-05-01,Labor Day / May Day,['National holiday'],Guadeloupe,GP
2023-05-08,WWII Victory Day,['National holiday'],Guadeloupe,GP
2023-05-18,Ascension Day,['National holiday'],Guadeloupe,GP
2023-05-27,Abolition Day,['National holiday'],Guadeloupe,GP
2023-05-28,Whit Sunday,['Observance'],Guadeloupe,GP
2023-05-29,Whit Monday,['National holiday'],Guadeloupe,GP
2023-07-14,Bastille Day,['National holiday'],Guadeloupe,GP
2023-08-15,Assumption of Mary,['National holiday'],Guadeloupe,GP
2023-11-01,All Saints' Day,['National holiday'],Guadeloupe,GP
2023-11-11,Armistice Day,['National holiday'],Guadeloupe,GP
2023-12-24,Christmas Eve,['Observance'],Guadeloupe,GP
2023-12-25,Christmas Day,['National holiday'],Guadeloupe,GP
2023-12-31,New Year's Eve,['Observance'],Guadeloupe,GP
