Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Guam,GU
2023-01-02,New Year observed,['National holiday'],Guam,GU
2023-01-16,Martin Luther King Jr. Day,['National holiday'],Guam,GU
2023-03-06,Guam History and Chamorro Heritage Day,['National holiday'],Guam,GU
2023-03-21T07:24:20+10:00,March Equinox,['Season'],Guam,GU
2023-05-29,Memorial Day,['National holiday'],Guam,GU
2023-06-22T00:57:49+10:00,June Solstice,['Season'],Guam,GU
2023-07-04,Independence Day,['National holiday'],Guam,GU
2023-07-21,Liberation Day,['National holiday'],Guam,GU
2023-09-04,Labor Day,['National holiday'],Guam,GU
2023-09-23T16:50:01+10:00,September Equinox,['Season'],Guam,GU
2023-11-02,All Souls' Day,['National holiday'],Guam,GU
2023-11-10,Veterans Day observed,['National holiday'],Guam,GU
2023-11-11,Veterans Day,['National holiday'],Guam,GU
2023-11-23,Thanksgiving,['National holiday'],Guam,GU
2023-12-08,Santa Marian Kamalen Day,['National holiday'],Guam,GU
2023-12-22T13:27:21+10:00,December Solstice,['Season'],Guam,GU
2023-12-25,Christmas Day,['National holiday'],Guam,GU
