Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Guatemala,GT
2023-03-20T15:24:20-06:00,March Equinox,['Season'],Guatemala,GT
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Guatemala,GT
2023-04-07,Good Friday,"['National holiday', 'Christian']",Guatemala,GT
2023-04-08,Easter Saturday,"['National holiday', 'Christian']",Guatemala,GT
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Guatemala,GT
2023-04-10,Easter Monday,"['Observance', 'Christian']",Guatemala,GT
2023-05-01,Labor Day,['National holiday'],Guatemala,GT
2023-05-10,Mothers’ Day (Working Mothers Only),['National holiday'],Guatemala,GT
2023-06-21T08:57:49-06:00,June Solstice,['Season'],Guatemala,GT
2023-06-30,Army Day,['Observance'],Guatemala,GT
2023-07-03,Army Day Holiday,['National holiday'],Guatemala,GT
2023-08-15,Assumption of Mary (Guatemala City only),['Local holiday'],Guatemala,GT
2023-09-15,Independence Day,['National holiday'],Guatemala,GT
2023-09-23T00:50:01-06:00,September Equinox,['Season'],Guatemala,GT
2023-10-12,Dia de la raza,['National holiday'],Guatemala,GT
2023-10-20,Revolution of 1944,['National holiday'],Guatemala,GT
2023-11-01,All Saints' Day,"['National holiday', 'Christian']",Guatemala,GT
2023-12-21T21:27:21-06:00,December Solstice,['Season'],Guatemala,GT
2023-12-24,Christmas Eve,['National holiday'],Guatemala,GT
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Guatemala,GT
2023-12-31,New Year's Eve,['National holiday'],Guatemala,GT
