Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Guernsey,GG
2023-01-02,Day off for New Year's Day,['National holiday'],Guernsey,GG
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Guernsey,GG
2023-03-26T01:00:00+00:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Guernsey,GG
2023-04-07,Good Friday,['National holiday'],Guernsey,GG
2023-04-10,Easter Monday,['National holiday'],Guernsey,GG
2023-05-01,May Day,['National holiday'],Guernsey,GG
2023-05-06,The Coronation of King Charles III,['Observance'],Guernsey,GG
2023-05-08,Bank Holiday for the Coronation of King Charles III,['National holiday'],Guernsey,GG
2023-05-09,Liberation Day (except Alderney and Sark),['Common local holiday'],Guernsey,GG
2023-05-10,Liberation Day (only Sark),['Common local holiday'],Guernsey,GG
2023-05-29,Spring Bank Holiday,['National holiday'],Guernsey,GG
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Guernsey,GG
2023-08-07,Summer Bank Holiday (only Alderney),['Common local holiday'],Guernsey,GG
2023-08-28,Summer Bank Holiday (except Alderney),['Common local holiday'],Guernsey,GG
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Guernsey,GG
2023-10-29T02:00:00+01:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Guernsey,GG
2023-12-15,Homecoming Day (only Alderney),['Common local holiday'],Guernsey,GG
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Guernsey,GG
2023-12-25,Christmas Day,['National holiday'],Guernsey,GG
2023-12-26,Boxing Day,['National holiday'],Guernsey,GG
