Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Guinea Bissau,GW
2023-01-20,Heroes Day,['National holiday'],Guinea Bissau,GW
2023-03-08,International Women's Day,['Observance'],Guinea Bissau,GW
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Guinea Bissau,GW
2023-04-09,Easter Sunday,['National holiday'],Guinea Bissau,GW
2023-04-21,Eid al-Fitr,['National holiday'],Guinea Bissau,GW
2023-05-01,Labour Day,['National holiday'],Guinea Bissau,GW
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Guinea Bissau,GW
2023-06-28,Eid al-Adha,['National holiday'],Guinea Bissau,GW
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Guinea Bissau,GW
2023-09-24,Independence Day (National Day),['National holiday'],Guinea Bissau,GW
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Guinea Bissau,GW
2023-12-25,Christmas Day,['National holiday'],Guinea Bissau,GW
