Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Guinea,GN
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Guinea,GN
2023-03-23,Ramadan Start,['Observance'],Guinea,GN
2023-04-03,Second Republic Day,['National holiday'],Guinea,GN
2023-04-10,Easter Monday,['National holiday'],Guinea,GN
2023-04-17,Lailat al-Qadr,['National holiday'],Guinea,GN
2023-04-21,Eid al-Fitr,['National holiday'],Guinea,GN
2023-05-01,Labour Day,['National holiday'],Guinea,GN
2023-05-25,Africa Day,['National holiday'],Guinea,GN
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Guinea,GN
2023-06-28,Eid al-Adha,['National holiday'],Guinea,GN
2023-08-15,Assumption of Mary,['National holiday'],Guinea,GN
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Guinea,GN
2023-09-27,The Prophet's Birthday,['National holiday'],Guinea,GN
2023-10-02,Independence Day,['National holiday'],Guinea,GN
2023-11-01,All Saints' Day,['National holiday'],Guinea,GN
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Guinea,GN
2023-12-25,Christmas Day,['National holiday'],Guinea,GN
