Date,Name,Type,Country Name,Country Code
2023-01-02,New Year's Day Holiday,['National holiday'],Guyana,GY
2023-02-23,Mashramani (Republic Day),['National holiday'],Guyana,GY
2023-03-07,Phagwah (Holi),['National holiday'],Guyana,GY
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Guyana,GY
2023-04-07,Good Friday,['National holiday'],Guyana,GY
2023-04-10,Easter Monday,['National holiday'],Guyana,GY
2023-05-01,Labor Day / May Day,['National holiday'],Guyana,GY
2023-05-05,Arrival Day,['National holiday'],Guyana,GY
2023-05-26,Independence Day,['National holiday'],Guyana,GY
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Guyana,GY
2023-06-29,Eid al-Adha,['National holiday'],Guyana,GY
2023-07-03,CARICOM Day,['National holiday'],Guyana,GY
2023-08-01,Emancipation Day,['National holiday'],Guyana,GY
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Guyana,GY
2023-09-27,Youman-Nabi (Mawlid),['National holiday'],Guyana,GY
2023-11-12,Deepavali,['National holiday'],Guyana,GY
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Guyana,GY
2023-12-25,Christmas Day,['National holiday'],Guyana,GY
2023-12-26,Boxing Day,['National holiday'],Guyana,GY
