Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day/Independence Day,['National holiday'],Haiti,HT
2023-01-02,Heroes’ Day/Ancestors’ Day,['National holiday'],Haiti,HT
2023-02-14,Valentine's Day,['Observance'],Haiti,HT
2023-02-21,Carnival/Shrove Tuesday,['National holiday'],Haiti,HT
2023-02-22,Carnival / Ash Wednesday,['National holiday'],Haiti,HT
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Haiti,HT
2023-04-07,Good Friday,['National holiday'],Haiti,HT
2023-04-09,Easter Sunday,['Observance'],Haiti,HT
2023-05-01,Agriculture and Labor Day,['National holiday'],Haiti,HT
2023-05-18,Flag Day/University Day,['National holiday'],Haiti,HT
2023-05-28,Mother's Day,['National holiday'],Haiti,HT
2023-06-08,Corpus Christi,['Local holiday'],Haiti,HT
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Haiti,HT
2023-06-25,Father's Day,['Observance'],Haiti,HT
2023-08-15,Assumption of Mary,['Local holiday'],Haiti,HT
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Haiti,HT
2023-10-17,Dessalines Day,['National holiday'],Haiti,HT
2023-11-01,All Saints' Day,['Local holiday'],Haiti,HT
2023-11-02,All Souls' Day,['Local holiday'],Haiti,HT
2023-11-18,Vertières Day,['National holiday'],Haiti,HT
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Haiti,HT
2023-12-24,Christmas Eve,['Observance'],Haiti,HT
2023-12-25,Christmas Day,['National holiday'],Haiti,HT
2023-12-31,New Year's Eve,['Observance'],Haiti,HT
