Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Honduras,HN
2023-01-02,Public Sector Holiday,['National holiday'],Honduras,HN
2023-01-06,The Three Wise Men Day,['Observance'],Honduras,HN
2023-02-03,Our Lady of Suyapa,['Observance'],Honduras,HN
2023-03-19,Father's Day,['Observance'],Honduras,HN
2023-03-20T15:24:20-06:00,March Equinox,['Season'],Honduras,HN
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Honduras,HN
2023-04-07,Good Friday,"['National holiday', 'Christian']",Honduras,HN
2023-04-08,Holy Saturday,"['National holiday', 'Christian']",Honduras,HN
2023-04-09,Easter Sunday,['Observance'],Honduras,HN
2023-04-14,America Day,['National holiday'],Honduras,HN
2023-05-01,Labor Day / May Day,['National holiday'],Honduras,HN
2023-05-14,Mother's Day,['Observance'],Honduras,HN
2023-06-08,Corpus Christi,['Observance'],Honduras,HN
2023-06-21T08:57:49-06:00,June Solstice,['Season'],Honduras,HN
2023-09-10,Children's Day,['Observance'],Honduras,HN
2023-09-15,Independence Day,['National holiday'],Honduras,HN
2023-09-17,Teacher's Day,['Observance'],Honduras,HN
2023-09-23T00:50:01-06:00,September Equinox,['Season'],Honduras,HN
2023-10-03,Morazan's Day,['National holiday'],Honduras,HN
2023-10-12,Columbus Day,['National holiday'],Honduras,HN
2023-10-21,Army Day,['National holiday'],Honduras,HN
2023-12-21T21:27:21-06:00,December Solstice,['Season'],Honduras,HN
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Honduras,HN
2023-12-31,New Year's Eve,['Observance'],Honduras,HN
