Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Hong Kong,HK
2023-01-02,New Year's Day observed,['National holiday'],Hong Kong,HK
2023-01-22,Lunar New Year's Day,['National holiday'],Hong Kong,HK
2023-01-23,Second Day of Lunar New Year,['National holiday'],Hong Kong,HK
2023-01-24,Third Day of Lunar New Year,['National holiday'],Hong Kong,HK
2023-01-25,Fourth Day of Lunar New Year,['National holiday'],Hong Kong,HK
2023-02-14,Valentine's Day,['Observance'],Hong Kong,HK
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Hong Kong,HK
2023-04-05,Tomb Sweeping Day,['National holiday'],Hong Kong,HK
2023-04-07,Good Friday,['National holiday'],Hong Kong,HK
2023-04-08,Holy Saturday,['National holiday'],Hong Kong,HK
2023-04-09,Easter Sunday,['Observance'],Hong Kong,HK
2023-04-10,Easter Monday,['National holiday'],Hong Kong,HK
2023-05-01,Labour Day,['National holiday'],Hong Kong,HK
2023-05-14,Mother's Day,['Observance'],Hong Kong,HK
2023-05-26,Buddha's Birthday,['National holiday'],Hong Kong,HK
2023-06-18,Father's Day,['Observance'],Hong Kong,HK
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Hong Kong,HK
2023-06-22,Dragon Boat Festival,['National holiday'],Hong Kong,HK
2023-07-01,Hong Kong Special Administrative Region Establishment Day,['National holiday'],Hong Kong,HK
2023-08-30,Hungry Ghost Festival,['Observance'],Hong Kong,HK
2023-09-17,Confucius' Birthday,['Observance'],Hong Kong,HK
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Hong Kong,HK
2023-09-29,Mid-Autumn Festival,['Observance'],Hong Kong,HK
2023-09-30,Day after Mid-Autumn Festival,['National holiday'],Hong Kong,HK
2023-10-01,National Day of the People's Republic of China,['National holiday'],Hong Kong,HK
2023-10-02,National Day of the People's Republic of China observed,['National holiday'],Hong Kong,HK
2023-10-23,Chung Yeung Festival,['National holiday'],Hong Kong,HK
2023-10-31,Halloween,['Observance'],Hong Kong,HK
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Hong Kong,HK
2023-12-25,Christmas Day,['National holiday'],Hong Kong,HK
2023-12-26,First Weekday After Christmas Day,['National holiday'],Hong Kong,HK
2023-12-31,New Year’s Eve,['Observance'],Hong Kong,HK
