Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Hungary,HU
2023-03-15,1848 Revolution Memorial Day,['National holiday'],Hungary,HU
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Hungary,HU
2023-04-07,Good Friday,['National holiday'],Hungary,HU
2023-04-09,Easter Sunday,['Observance'],Hungary,HU
2023-04-10,Easter Monday,['National holiday'],Hungary,HU
2023-05-01,Labor Day / May Day,['National holiday'],Hungary,HU
2023-05-07,Mother’s Day,['Observance'],Hungary,HU
2023-05-28,Whit Sunday,['Observance'],Hungary,HU
2023-05-29,Whit Monday,['National holiday'],Hungary,HU
2023-06-18,Father’s Day,['Observance'],Hungary,HU
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Hungary,HU
2023-08-20,Hungary National Day,['National holiday'],Hungary,HU
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Hungary,HU
2023-10-23,1956 Revolution Memorial Day,['National holiday'],Hungary,HU
2023-11-01,All Saints' Day,['National holiday'],Hungary,HU
2023-12-06,Saint Nicholas Day,['Observance'],Hungary,HU
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Hungary,HU
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Hungary,HU
2023-12-25,Christmas Day,['National holiday'],Hungary,HU
2023-12-26,Second Day of Christmas,['National holiday'],Hungary,HU
2023-12-31,New Year's Eve,['Observance'],Hungary,HU
