Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Iceland,IS
2023-01-06,Twelfth Night,['Observance'],Iceland,IS
2023-02-14,Valentine's Day,['Observance'],Iceland,IS
2023-02-22,Ash Wednesday,['Observance'],Iceland,IS
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Iceland,IS
2023-04-06,Maundy Thursday,['National holiday'],Iceland,IS
2023-04-07,Good Friday,['National holiday'],Iceland,IS
2023-04-08,Holy Saturday,['Observance'],Iceland,IS
2023-04-09,Easter Sunday,['National holiday'],Iceland,IS
2023-04-10,Easter Monday,['National holiday'],Iceland,IS
2023-04-20,First Day of Summer,['National holiday'],Iceland,IS
2023-05-01,Labour Day,['National holiday'],Iceland,IS
2023-05-14,Mothers' Day,['Observance'],Iceland,IS
2023-05-18,Ascension Day,['National holiday'],Iceland,IS
2023-05-28,Whit Sunday,['National holiday'],Iceland,IS
2023-05-29,Whit Monday,['National holiday'],Iceland,IS
2023-06-17,Icelandic Republic Day,['National holiday'],Iceland,IS
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Iceland,IS
2023-08-07,Commerce Day,['National holiday'],Iceland,IS
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Iceland,IS
2023-10-31,Halloween,['Observance'],Iceland,IS
2023-11-12,Fathers' Day,['Observance'],Iceland,IS
2023-12-01,Independence Day,['Observance'],Iceland,IS
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Iceland,IS
2023-12-24,Christmas Eve (from noon),['National holiday'],Iceland,IS
2023-12-25,Christmas Day,['National holiday'],Iceland,IS
2023-12-26,Second Day of Christmas,['National holiday'],Iceland,IS
2023-12-31,New Year's Eve (from noon),['National holiday'],Iceland,IS
