Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Indonesia,ID
2023-01-22,Lunar New Year's Day,['National holiday'],Indonesia,ID
2023-01-23,Lunar New Year Joint Holiday,['National holiday'],Indonesia,ID
2023-02-18,Maha Shivaratri,['Hinduism'],Indonesia,ID
2023-02-18,Ascension of the Prophet Muhammad,['National holiday'],Indonesia,ID
2023-03-08,Holi,['Hinduism'],Indonesia,ID
2023-03-21T04:24:20+07:00,March Equinox,['Season'],Indonesia,ID
2023-03-22,Bali's Day of Silence and Hindu New Year (Nyepi),['National holiday'],Indonesia,ID
2023-03-23,Ramadan Start,['Observance'],Indonesia,ID
2023-03-23,Joint Holiday for Bali's Day of Silence and Hindu New Year (Nyepi),['National holiday'],Indonesia,ID
2023-04-07,Good Friday,['National holiday'],Indonesia,ID
2023-04-09,Easter Sunday,['Observance'],Indonesia,ID
2023-04-19,Idul Fitri Joint Holiday,['National holiday'],Indonesia,ID
2023-04-20,Idul Fitri Joint Holiday,['National holiday'],Indonesia,ID
2023-04-21,Idul Fitri Joint Holiday,['National holiday'],Indonesia,ID
2023-04-22,Idul Fitri,['National holiday'],Indonesia,ID
2023-04-23,Idul Fitri Holiday,['National holiday'],Indonesia,ID
2023-04-24,Idul Fitri Joint Holiday,['National holiday'],Indonesia,ID
2023-04-25,Idul Fitri Joint Holiday,['National holiday'],Indonesia,ID
2023-05-01,International Labor Day,['National holiday'],Indonesia,ID
2023-05-18,Ascension Day of Jesus Christ,['National holiday'],Indonesia,ID
2023-06-01,Pancasila Day,['National holiday'],Indonesia,ID
2023-06-02,Joint Holiday before Waisak Day,['National holiday'],Indonesia,ID
2023-06-04,Waisak Day (Buddha's Anniversary),['National holiday'],Indonesia,ID
2023-06-21T21:57:49+07:00,June Solstice,['Season'],Indonesia,ID
2023-06-29,Idul Adha,['National holiday'],Indonesia,ID
2023-07-19,Muharram / Islamic New Year,['National holiday'],Indonesia,ID
2023-08-17,Indonesian Independence Day,['National holiday'],Indonesia,ID
2023-08-31,Raksha Bandhan,['Hinduism'],Indonesia,ID
2023-09-06,Janmashtami,['Hinduism'],Indonesia,ID
2023-09-19,Ganesh Chaturthi,['Hinduism'],Indonesia,ID
2023-09-23T13:50:01+07:00,September Equinox,['Season'],Indonesia,ID
2023-09-28,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),['National holiday'],Indonesia,ID
2023-10-15,Navaratri,['Hinduism'],Indonesia,ID
2023-10-24,Dussehra,['Hinduism'],Indonesia,ID
2023-11-12,Diwali,['Observance'],Indonesia,ID
2023-12-22T10:27:21+07:00,December Solstice,['Season'],Indonesia,ID
2023-12-24,Christmas Eve,['Observance'],Indonesia,ID
2023-12-25,Christmas Day,['National holiday'],Indonesia,ID
2023-12-26,Boxing Day,['National holiday'],Indonesia,ID
2023-12-31,New Year's Eve,['Observance'],Indonesia,ID
