Date,Name,Type,Country Name,Country Code
2023-02-04,Birthday of Imam Ali and Father's Day,['National holiday'],Iran,IR
2023-02-11,Revolution Day,['National holiday'],Iran,IR
2023-02-18,Prophet's Ascension,['National holiday'],Iran,IR
2023-03-08,Imam Mahdi's birthday,['National holiday'],Iran,IR
2023-03-20,Oil Nationalization Day,['National holiday'],Iran,IR
2023-03-21T00:54:20+03:30,March Equinox,['Season'],Iran,IR
2023-03-21,Norooz (Persian New Year),['National holiday'],Iran,IR
2023-03-22,Norooz Holiday,['National holiday'],Iran,IR
2023-03-23,Norooz Holiday,['National holiday'],Iran,IR
2023-03-23,Ramadan Start,['Observance'],Iran,IR
2023-03-24,Norooz Holiday,['National holiday'],Iran,IR
2023-04-01,Islamic Republic Day,['National holiday'],Iran,IR
2023-04-02,Nature Day,['National holiday'],Iran,IR
2023-04-12,Martyrdom of Imam Ali,['National holiday'],Iran,IR
2023-04-22,Eid-e-Fetr (End of Ramadan),['National holiday'],Iran,IR
2023-04-23,Eid-e-Fetr (Additional Holiday),['National holiday'],Iran,IR
2023-05-15,Martyrdom of Imam Sadeq,['National holiday'],Iran,IR
2023-06-04,Demise of Imam Khomeini,['National holiday'],Iran,IR
2023-06-05,Khordad National Uprising,['National holiday'],Iran,IR
2023-06-21T18:27:49+03:30,June Solstice,['Season'],Iran,IR
2023-06-29,Eid-e-Ghorban (Feast of Sacrifice),['National holiday'],Iran,IR
2023-07-07,Eid-e-Ghadir,['National holiday'],Iran,IR
2023-07-27,Tassoua,['National holiday'],Iran,IR
2023-07-28,Ashura,['National holiday'],Iran,IR
2023-08-02,Public Holiday for Extreme Weather,['National holiday'],Iran,IR
2023-08-03,Public Holiday for Extreme Weather,['National holiday'],Iran,IR
2023-09-06,Arbaeen,['National holiday'],Iran,IR
2023-09-14,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,['National holiday'],Iran,IR
2023-09-15,Martyrdom of Imam Reza,['National holiday'],Iran,IR
2023-09-23T10:20:01+03:30,September Equinox,['Season'],Iran,IR
2023-09-24,Martyrdom of Imam Hasan al-Askari,['National holiday'],Iran,IR
2023-10-03,Birthday of Prophet Muhammad and Imam Sadeq,['National holiday'],Iran,IR
2023-12-17,Martyrdom of Hazrat Fatima,['National holiday'],Iran,IR
2023-12-22T06:57:21+03:30,December Solstice,['Season'],Iran,IR
