Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Iraq,IQ
2023-01-06,Army Day,['National holiday'],Iraq,IQ
2023-03-05,Rebellion Anniversary,['Local holiday'],Iraq,IQ
2023-03-06,National Day of Tolerance and Coexistence,['National holiday'],Iraq,IQ
2023-03-11,"Anniversary of Signing of the March 11, 1970 Agreement",['Local holiday'],Iraq,IQ
2023-03-14,Birth Anniversary of the Immortal Barzani,['Local holiday'],Iraq,IQ
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Iraq,IQ
2023-03-21,Nowruz,['National holiday'],Iraq,IQ
2023-03-22,Nowruz Holiday,['Local holiday'],Iraq,IQ
2023-03-23,Nowruz Holiday,['Local holiday'],Iraq,IQ
2023-03-23,Ramadan Start,['Observance'],Iraq,IQ
2023-03-27,Public Holiday,['National holiday'],Iraq,IQ
2023-04-05,Yazidi New Year,['Local holiday'],Iraq,IQ
2023-04-09,Baghdad Liberation Day,['Local holiday'],Iraq,IQ
2023-04-09,Fall of the Defunct Dictatorial Regime and the Liberation of Iraq Day,['Local holiday'],Iraq,IQ
2023-04-20,Eid al-Fitr holiday,['National holiday'],Iraq,IQ
2023-04-21,Eid al-Fitr,['National holiday'],Iraq,IQ
2023-04-22,Eid al-Fitr holiday,['National holiday'],Iraq,IQ
2023-04-23,Eid al-Fitr holiday,['National holiday'],Iraq,IQ
2023-04-24,Eid al-Fitr holiday,['National holiday'],Iraq,IQ
2023-05-01,Labor Day,['National holiday'],Iraq,IQ
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Iraq,IQ
2023-06-27,Eid al-Adha holiday,['National holiday'],Iraq,IQ
2023-06-28,Eid al-Adha,['National holiday'],Iraq,IQ
2023-06-29,Eid al-Adha holiday,['National holiday'],Iraq,IQ
2023-06-30,Eid al-Adha holiday,['National holiday'],Iraq,IQ
2023-07-01,Eid al-Adha holiday,['National holiday'],Iraq,IQ
2023-07-02,Eid al-Adha holiday,['National holiday'],Iraq,IQ
2023-07-14,Republic Day,['National holiday'],Iraq,IQ
2023-07-19,Islamic New Year,['National holiday'],Iraq,IQ
2023-07-29,Ashura,['National holiday'],Iraq,IQ
2023-07-31,Ashura Holiday,['National holiday'],Iraq,IQ
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Iraq,IQ
2023-09-27,The Prophet's Birthday,['National holiday'],Iraq,IQ
2023-10-03,Iraqi Independence Day,['National holiday'],Iraq,IQ
2023-12-10,Anniversary of Victory over ISIS,['National holiday'],Iraq,IQ
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Iraq,IQ
2023-12-25,Christmas Day,['National holiday'],Iraq,IQ
2023-12-31,New Year's Eve,['Observance'],Iraq,IQ
