Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Ireland,IE
2023-02-01,St. Brigid’s Day,['Observance'],Ireland,IE
2023-02-06,St. Brigid’s Day,['National holiday'],Ireland,IE
2023-03-17,St. Patrick's Day,['National holiday'],Ireland,IE
2023-03-19,Mother's Day,['Observance'],Ireland,IE
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Ireland,IE
2023-04-07,Good Friday,['Observance'],Ireland,IE
2023-04-09,Easter,['Observance'],Ireland,IE
2023-04-10,Easter Monday,['National holiday'],Ireland,IE
2023-05-01,May Day,['National holiday'],Ireland,IE
2023-06-05,June Bank Holiday,['National holiday'],Ireland,IE
2023-06-18,Father’s Day,['Observance'],Ireland,IE
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Ireland,IE
2023-08-07,August Bank Holiday,['National holiday'],Ireland,IE
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Ireland,IE
2023-10-30,October Bank Holiday,['National holiday'],Ireland,IE
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Ireland,IE
2023-12-24,Christmas Eve,['Observance'],Ireland,IE
2023-12-25,Christmas Day,['National holiday'],Ireland,IE
2023-12-26,St. Stephen's Day,['National holiday'],Ireland,IE
2023-12-31,New Year's Eve,['Observance'],Ireland,IE
