Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Isle of Man,IM
2023-01-02,Day off for New Year's Day,['National holiday'],Isle of Man,IM
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Isle of Man,IM
2023-03-26T01:00:00+00:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Isle of Man,IM
2023-04-07,Good Friday,['National holiday'],Isle of Man,IM
2023-04-10,Easter Monday,['National holiday'],Isle of Man,IM
2023-05-01,Early May Bank Holiday,['National holiday'],Isle of Man,IM
2023-05-06,The Coronation of King Charles III,['Observance'],Isle of Man,IM
2023-05-08,Bank Holiday for the Coronation of King Charles III,['National holiday'],Isle of Man,IM
2023-05-29,Late May Bank Holiday,['National holiday'],Isle of Man,IM
2023-06-09,T. T. Bank Holiday,['National holiday'],Isle of Man,IM
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Isle of Man,IM
2023-07-05,Tynwald Day,['National holiday'],Isle of Man,IM
2023-08-28,Summer Bank Holiday,['National holiday'],Isle of Man,IM
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Isle of Man,IM
2023-10-29T02:00:00+01:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Isle of Man,IM
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Isle of Man,IM
2023-12-25,Christmas Day,['National holiday'],Isle of Man,IM
2023-12-26,Boxing Day,['National holiday'],Isle of Man,IM
