Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Jamaica,JM
2023-01-02,Day off for New Year's Day,['National holiday'],Jamaica,JM
2023-02-14,Valentine's Day,['Observance'],Jamaica,JM
2023-02-22,Ash Wednesday,['National holiday'],Jamaica,JM
2023-03-20T16:24:20-05:00,March Equinox,['Season'],Jamaica,JM
2023-04-07,Good Friday,['National holiday'],Jamaica,JM
2023-04-09,Easter Sunday,['Observance'],Jamaica,JM
2023-04-10,Easter Monday,['National holiday'],Jamaica,JM
2023-05-14,Mother's Day,['Observance'],Jamaica,JM
2023-05-23,Labor Day / May Day,['National holiday'],Jamaica,JM
2023-06-18,Father's Day,['Observance'],Jamaica,JM
2023-06-21T09:57:49-05:00,June Solstice,['Season'],Jamaica,JM
2023-08-01,Emancipation Day,['National holiday'],Jamaica,JM
2023-08-06,Independence Day,['National holiday'],Jamaica,JM
2023-08-07,Day off for Independence Day,['National holiday'],Jamaica,JM
2023-09-23T01:50:01-05:00,September Equinox,['Season'],Jamaica,JM
2023-10-16,National Heroes' Day,['National holiday'],Jamaica,JM
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Jamaica,JM
2023-12-24,Christmas Eve,['Observance'],Jamaica,JM
2023-12-25,Christmas Day,['National holiday'],Jamaica,JM
2023-12-26,Boxing Day,['National holiday'],Jamaica,JM
2023-12-31,New Year's Eve,['Observance'],Jamaica,JM
