Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Jordan,JO
2023-02-18,Al Isra' wal Miraj,['Observance'],Jordan,JO
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Jordan,JO
2023-03-23,Ramadan begins,['Observance'],Jordan,JO
2023-04-02,Palm Sunday,['Optional holiday'],Jordan,JO
2023-04-07,Good Friday,['Observance'],Jordan,JO
2023-04-09,Easter Sunday,['Observance'],Jordan,JO
2023-04-10,Easter Monday,['Observance'],Jordan,JO
2023-04-14,Orthodox Good Friday,['Observance'],Jordan,JO
2023-04-16,Orthodox Easter Day,"['Orthodox', 'Optional holiday']",Jordan,JO
2023-04-17,Orthodox Easter Monday,"['Orthodox', 'Optional holiday']",Jordan,JO
2023-04-21,Eid al-Fitr,['National holiday'],Jordan,JO
2023-04-22,Eid al-Fitr holiday,['National holiday'],Jordan,JO
2023-04-23,Eid al-Fitr holiday,['National holiday'],Jordan,JO
2023-04-24,Eid al-Fitr holiday,['National holiday'],Jordan,JO
2023-05-01,Labour Day,['National holiday'],Jordan,JO
2023-05-25,Independence Day,['National holiday'],Jordan,JO
2023-05-31,Royal Wedding Half Day Holiday,['National holiday'],Jordan,JO
2023-06-01,Royal Wedding Holiday,['National holiday'],Jordan,JO
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Jordan,JO
2023-06-27,Arafah,['National holiday'],Jordan,JO
2023-06-28,Eid al-Adha,['National holiday'],Jordan,JO
2023-06-29,Eid al-Adha holiday,['National holiday'],Jordan,JO
2023-06-30,Eid al-Adha holiday,['National holiday'],Jordan,JO
2023-07-01,Eid al-Adha holiday,['National holiday'],Jordan,JO
2023-07-19,Muharram/New Year,['National holiday'],Jordan,JO
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Jordan,JO
2023-09-27,Prophet's Birthday,['National holiday'],Jordan,JO
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Jordan,JO
2023-12-25,Christmas Day,['National holiday'],Jordan,JO
2023-12-26,Boxing Day,['Optional holiday'],Jordan,JO
