Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Kazakhstan,KZ
2023-01-02,New Year Holiday,['National holiday'],Kazakhstan,KZ
2023-01-03,Day off for New Year's Day,['National holiday'],Kazakhstan,KZ
2023-01-07,Orthodox Christmas Day,"['National holiday', 'Orthodox']",Kazakhstan,KZ
2023-03-08,International Women's Day,['National holiday'],Kazakhstan,KZ
2023-03-21T03:24:20+06:00,March Equinox,['Season'],Kazakhstan,KZ
2023-03-21,Nauryz,['National holiday'],Kazakhstan,KZ
2023-03-22,Nauryz Holiday,['National holiday'],Kazakhstan,KZ
2023-03-23,Nauryz Holiday,['National holiday'],Kazakhstan,KZ
2023-05-01,Unity Day,['National holiday'],Kazakhstan,KZ
2023-05-07,Defender of the Fatherland Day,['National holiday'],Kazakhstan,KZ
2023-05-08,Day off for Defender of the Fatherland Day,['National holiday'],Kazakhstan,KZ
2023-05-09,Victory Day,['National holiday'],Kazakhstan,KZ
2023-06-21T20:57:49+06:00,June Solstice,['Season'],Kazakhstan,KZ
2023-06-28,Kurban Ait,['National holiday'],Kazakhstan,KZ
2023-07-01,Special Working Day,['Weekend'],Kazakhstan,KZ
2023-07-06,Day of the Capital,['National holiday'],Kazakhstan,KZ
2023-07-07,Capital Day Holiday,['National holiday'],Kazakhstan,KZ
2023-08-30,Constitution Day,['National holiday'],Kazakhstan,KZ
2023-09-23T12:50:01+06:00,September Equinox,['Season'],Kazakhstan,KZ
2023-10-25,Republic Day,['National holiday'],Kazakhstan,KZ
2023-12-16,Independence Day,['National holiday'],Kazakhstan,KZ
2023-12-18,Day off for Independence Day,['National holiday'],Kazakhstan,KZ
2023-12-22T09:27:21+06:00,December Solstice,['Season'],Kazakhstan,KZ
2023-12-31,New Year's Eve,['Observance'],Kazakhstan,KZ
