Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Kenya,KE
2023-01-02,New Year's Day observed,['National holiday'],Kenya,KE
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Kenya,KE
2023-03-23,Ramadan Start,['Observance'],Kenya,KE
2023-04-07,Good Friday,['National holiday'],Kenya,KE
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Kenya,KE
2023-04-10,Easter Monday,['National holiday'],Kenya,KE
2023-04-21,Idd ul-Fitr,['National holiday'],Kenya,KE
2023-05-01,Labour Day/May Day,['National holiday'],Kenya,KE
2023-05-14,Mother's Day,['Observance'],Kenya,KE
2023-06-01,Madaraka Day,['National holiday'],Kenya,KE
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Kenya,KE
2023-06-28,Eid al-Adha,['Optional holiday'],Kenya,KE
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Kenya,KE
2023-10-10,Huduma Day,['National holiday'],Kenya,KE
2023-10-20,Mashujaa Day,['National holiday'],Kenya,KE
2023-11-12,Diwali,['Optional holiday'],Kenya,KE
2023-12-12,Jamhuri Day,['National holiday'],Kenya,KE
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Kenya,KE
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Kenya,KE
2023-12-25,Christmas Day,['National holiday'],Kenya,KE
2023-12-26,Boxing Day,['National holiday'],Kenya,KE
2023-12-31,New Year's Eve,['Observance'],Kenya,KE
