Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Kiribati,KI
2023-01-02,Day off for New Year's Day,['National holiday'],Kiribati,KI
2023-03-08,International Women's Day,['National holiday'],Kiribati,KI
2023-03-21T09:24:20+12:00,March Equinox,['Season'],Kiribati,KI
2023-04-07,Good Friday,['National holiday'],Kiribati,KI
2023-04-10,Easter Monday,['National holiday'],Kiribati,KI
2023-04-11,National Health Day,['National holiday'],Kiribati,KI
2023-05-01,Labor Day / May Day,['National holiday'],Kiribati,KI
2023-06-22T02:57:49+12:00,June Solstice,['Season'],Kiribati,KI
2023-06-23,Police National Day,['National holiday'],Kiribati,KI
2023-07-10,Gospel Day,['National holiday'],Kiribati,KI
2023-07-11,Independence Day Holiday,['National holiday'],Kiribati,KI
2023-07-12,Independence Day,['National holiday'],Kiribati,KI
2023-07-13,Kiribati Special Day,['National holiday'],Kiribati,KI
2023-07-15,Unimwane Day,['Observance'],Kiribati,KI
2023-07-16,Unaine Day,['Observance'],Kiribati,KI
2023-08-07,Youth Day,['National holiday'],Kiribati,KI
2023-09-23T18:50:01+12:00,September Equinox,['Season'],Kiribati,KI
2023-10-06,World Teachers' Day,['National holiday'],Kiribati,KI
2023-12-11,Human Rights and Peace Day,['National holiday'],Kiribati,KI
2023-12-22T15:27:21+12:00,December Solstice,['Season'],Kiribati,KI
2023-12-25,Christmas Day,['National holiday'],Kiribati,KI
2023-12-26,Boxing Day,['National holiday'],Kiribati,KI
