Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Kosovo,XK
2023-01-02,Day off for New Year's Day,['National holiday'],Kosovo,XK
2023-01-02,Second Day of New Year,['National holiday'],Kosovo,XK
2023-01-07,Christmas Day,"['National holiday', 'Orthodox']",Kosovo,XK
2023-01-09,Day off for Christmas Day,"['National holiday', 'Orthodox']",Kosovo,XK
2023-02-15,Day of Ashakalia,['Observance'],Kosovo,XK
2023-02-17,Independence Day of the Republic of Kosovo,['National holiday'],Kosovo,XK
2023-03-06,Day of Memorial and Respect for Veterans,['Observance'],Kosovo,XK
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Kosovo,XK
2023-03-23,Ramadan Start,['Observance'],Kosovo,XK
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Kosovo,XK
2023-04-08,Day of Romas,['Observance'],Kosovo,XK
2023-04-09,Constitution Day of the Republic of Kosovo,['National holiday'],Kosovo,XK
2023-04-09,Easter,['National holiday'],Kosovo,XK
2023-04-10,Day off for Constitution Day of the Republic of Kosovo,['National holiday'],Kosovo,XK
2023-04-10,Easter Monday,['National holiday'],Kosovo,XK
2023-04-16,Orthodox Easter Day,"['National holiday', 'Orthodox']",Kosovo,XK
2023-04-17,Orthodox Easter Monday,"['National holiday', 'Orthodox']",Kosovo,XK
2023-04-21,Eid al-Fitr,['National holiday'],Kosovo,XK
2023-04-23,Day of Turks,['Observance'],Kosovo,XK
2023-05-01,International Labour Day,['National holiday'],Kosovo,XK
2023-05-06,Day of Gorans,['Observance'],Kosovo,XK
2023-05-09,Europe Day,['National holiday'],Kosovo,XK
2023-06-12,Peace Day,['Observance'],Kosovo,XK
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Kosovo,XK
2023-06-28,Kurban Bayrami,['National holiday'],Kosovo,XK
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Kosovo,XK
2023-09-28,Day of Bosnians,['Observance'],Kosovo,XK
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Kosovo,XK
2023-11-28,Day of Albanians,['Observance'],Kosovo,XK
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Kosovo,XK
2023-12-25,Christmas Day,['National holiday'],Kosovo,XK
2023-12-31,New Year's Eve,['Observance'],Kosovo,XK
