Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Kuwait,KW
2023-02-18,Isra and Miraj,['National holiday'],Kuwait,KW
2023-02-19,Day off for Isra and Miraj,['National holiday'],Kuwait,KW
2023-02-25,National Day,['National holiday'],Kuwait,KW
2023-02-26,Liberation Day,['National holiday'],Kuwait,KW
2023-02-27,National Day holiday,['National holiday'],Kuwait,KW
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Kuwait,KW
2023-03-23,Ramadan Start,['Observance'],Kuwait,KW
2023-04-21,Eid al-Fitr,['National holiday'],Kuwait,KW
2023-04-22,Eid al-Fitr holiday,['National holiday'],Kuwait,KW
2023-04-23,Eid al-Fitr holiday,['National holiday'],Kuwait,KW
2023-04-24,Eid al-Fitr holiday,['National holiday'],Kuwait,KW
2023-04-25,Eid al-Fitr holiday,['National holiday'],Kuwait,KW
2023-06-06,Parliamentary Elections Holiday,['National holiday'],Kuwait,KW
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Kuwait,KW
2023-06-27,Waqfat Arafat Day,['National holiday'],Kuwait,KW
2023-06-28,Eid al-Adha,['National holiday'],Kuwait,KW
2023-06-29,Eid al-Adha holiday,['National holiday'],Kuwait,KW
2023-06-30,Eid al-Adha holiday,['National holiday'],Kuwait,KW
2023-07-01,Eid al-Adha holiday,['National holiday'],Kuwait,KW
2023-07-02,Eid al-Adha holiday,['National holiday'],Kuwait,KW
2023-07-19,Islamic New Year,['National holiday'],Kuwait,KW
2023-07-20,Islamic New Year Holiday,['National holiday'],Kuwait,KW
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Kuwait,KW
2023-09-27,The Prophet's Birthday,['National holiday'],Kuwait,KW
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Kuwait,KW
2023-12-31,New Year's Eve,['Observance'],Kuwait,KW
