Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Kyrgyzstan,KG
2023-01-02,Day off for New Year,['National holiday'],Kyrgyzstan,KG
2023-01-03,Public Holiday,['National holiday'],Kyrgyzstan,KG
2023-01-04,Public Holiday,['National holiday'],Kyrgyzstan,KG
2023-01-05,Public Holiday,['National holiday'],Kyrgyzstan,KG
2023-01-06,Public Holiday,['National holiday'],Kyrgyzstan,KG
2023-01-07,Orthodox Christmas Day,"['National holiday', 'Orthodox']",Kyrgyzstan,KG
2023-02-23,Defender of the Fatherland Day,['National holiday'],Kyrgyzstan,KG
2023-02-25,Working day,['Weekend'],Kyrgyzstan,KG
2023-03-08,International Women's Day,['National holiday'],Kyrgyzstan,KG
2023-03-11,Working day,['Weekend'],Kyrgyzstan,KG
2023-03-20,Nooruz Public Holiday,['National holiday'],Kyrgyzstan,KG
2023-03-21T03:24:20+06:00,March Equinox,['Season'],Kyrgyzstan,KG
2023-03-21,"National Holiday ""Nooruz""",['National holiday'],Kyrgyzstan,KG
2023-03-23,Ramadan Start,['Observance'],Kyrgyzstan,KG
2023-03-25,Working day,['Weekend'],Kyrgyzstan,KG
2023-04-07,April People's Revolution Day,['National holiday'],Kyrgyzstan,KG
2023-04-21,Orozo Ait,['National holiday'],Kyrgyzstan,KG
2023-04-29,Working Day,['Weekend'],Kyrgyzstan,KG
2023-05-01,May Day,['National holiday'],Kyrgyzstan,KG
2023-05-05,Constitution Day of the Kyrgyz Republic,['National holiday'],Kyrgyzstan,KG
2023-05-08,Constitution Day Holiday,['National holiday'],Kyrgyzstan,KG
2023-05-09,Victory Day,['National holiday'],Kyrgyzstan,KG
2023-05-13,Working day,['Weekend'],Kyrgyzstan,KG
2023-06-21T20:57:49+06:00,June Solstice,['Season'],Kyrgyzstan,KG
2023-06-28,Kurman Ait,['National holiday'],Kyrgyzstan,KG
2023-08-31,Independence Day of the Kyrgyz Republic,['National holiday'],Kyrgyzstan,KG
2023-09-23T12:50:01+06:00,September Equinox,['Season'],Kyrgyzstan,KG
2023-11-06,Days of History and Memory of Ancestors Holiday,['National holiday'],Kyrgyzstan,KG
2023-11-07,Days of History and Memory of Ancestors,['National holiday'],Kyrgyzstan,KG
2023-11-08,Days of History and Memory of Ancestors Holiday,['National holiday'],Kyrgyzstan,KG
2023-11-11,Working day,['Weekend'],Kyrgyzstan,KG
2023-12-22T09:27:21+06:00,December Solstice,['Season'],Kyrgyzstan,KG
