Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Laos,LA
2023-01-02,Day off for New Year's Day,['National holiday'],Laos,LA
2023-03-08,International Women's Day (Women Only),['National holiday'],Laos,LA
2023-03-21T04:24:20+07:00,March Equinox,['Season'],Laos,LA
2023-04-12,Lao New Year Holiday,['National holiday'],Laos,LA
2023-04-13,Lao New Year Holiday,['National holiday'],Laos,LA
2023-04-14,Lao New Year,['National holiday'],Laos,LA
2023-05-01,Labor Day / May Day,['National holiday'],Laos,LA
2023-06-01,Children's Day,['Observance'],Laos,LA
2023-06-21T21:57:49+07:00,June Solstice,['Season'],Laos,LA
2023-07-20,Lao Women Union's Day,['National holiday'],Laos,LA
2023-09-23T13:50:01+07:00,September Equinox,['Season'],Laos,LA
2023-10-09,Boat Racing Festival,['Local holiday'],Laos,LA
2023-10-28,Bouk Ok Pansa,['National holiday'],Laos,LA
2023-10-30,Day off for Bouk Ok Pansa,['National holiday'],Laos,LA
2023-11-27,That Luang Festival,['National holiday'],Laos,LA
2023-12-02,National Day,['National holiday'],Laos,LA
2023-12-04,Day off for National Day,['National holiday'],Laos,LA
2023-12-22T10:27:21+07:00,December Solstice,['Season'],Laos,LA
