Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Latvia,LV
2023-02-14,Valentine's Day,['Observance'],Latvia,LV
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Latvia,LV
2023-03-26T03:00:00+02:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Latvia,LV
2023-04-07,Good Friday,['National holiday'],Latvia,LV
2023-04-08,Holy Saturday,['Observance'],Latvia,LV
2023-04-09,Easter Sunday,['National holiday'],Latvia,LV
2023-04-10,Easter Monday,['National holiday'],Latvia,LV
2023-05-01,Labour Day/May Day,['National holiday'],Latvia,LV
2023-05-01,Constituent Assembly Convocation Day,['National holiday'],Latvia,LV
2023-05-04,Independence Restoration Day,['National holiday'],Latvia,LV
2023-05-05,Public Holiday,['National holiday'],Latvia,LV
2023-05-14,Mothers' Day,['National holiday'],Latvia,LV
2023-05-20,Working Day,['Observance'],Latvia,LV
2023-05-28,Whitsunday,['National holiday'],Latvia,LV
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Latvia,LV
2023-06-23,Midsummer Eve,['National holiday'],Latvia,LV
2023-06-24,Midsummer Day,['National holiday'],Latvia,LV
2023-07-09,Last Day of the Song and Dance Festival,['National holiday'],Latvia,LV
2023-09-10,Fathers' Day,['Observance'],Latvia,LV
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Latvia,LV
2023-10-29T04:00:00+03:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Latvia,LV
2023-10-31,Halloween,['Observance'],Latvia,LV
2023-11-18,Republic of Latvia Proclamation Day,['National holiday'],Latvia,LV
2023-11-20,Republic of Latvia Proclamation Day observed,['National holiday'],Latvia,LV
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Latvia,LV
2023-12-24,Christmas Eve,['National holiday'],Latvia,LV
2023-12-25,Christmas Day,['National holiday'],Latvia,LV
2023-12-26,Second Day of Christmas,['National holiday'],Latvia,LV
2023-12-31,New Year's Eve,['National holiday'],Latvia,LV
