Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Lesotho,LS
2023-03-11,Moshoeshoe's Birthday,['National holiday'],Lesotho,LS
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Lesotho,LS
2023-04-07,Good Friday,['National holiday'],Lesotho,LS
2023-04-10,Easter Monday,['National holiday'],Lesotho,LS
2023-05-01,May Day,['National holiday'],Lesotho,LS
2023-05-18,Ascension Day,['National holiday'],Lesotho,LS
2023-05-25,Africa/Heroes Day,['National holiday'],Lesotho,LS
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Lesotho,LS
2023-07-17,King's Birthday,['National holiday'],Lesotho,LS
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Lesotho,LS
2023-10-04,Independence Day,['National holiday'],Lesotho,LS
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Lesotho,LS
2023-12-25,Christmas Day,['National holiday'],Lesotho,LS
2023-12-26,Boxing Day,['National holiday'],Lesotho,LS
