Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Liberia,LR
2023-01-02,Day off for New Year,['National holiday'],Liberia,LR
2023-01-07,Pioneers Day,['Observance'],Liberia,LR
2023-02-11,Armed Forces Day,['National holiday'],Liberia,LR
2023-03-08,Decoration Day,['National holiday'],Liberia,LR
2023-03-15,J. J. Roberts Birthday,['National holiday'],Liberia,LR
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Liberia,LR
2023-04-14,Fast and Prayer Day,['National holiday'],Liberia,LR
2023-05-14,National Unification Day,['National holiday'],Liberia,LR
2023-05-15,Day off for National Unification Day,['National holiday'],Liberia,LR
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Liberia,LR
2023-07-26,Independence Day,['National holiday'],Liberia,LR
2023-08-24,Flag Day,['National holiday'],Liberia,LR
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Liberia,LR
2023-11-02,Thanksgiving,['National holiday'],Liberia,LR
2023-11-29,William Tubmans Birthday,['National holiday'],Liberia,LR
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Liberia,LR
2023-12-25,Christmas Day,['National holiday'],Liberia,LR
