Date,Name,Type,Country Name,Country Code
2023-02-17,Libyan Revolution Day,['National holiday'],Libya,LY
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Libya,LY
2023-03-23,Ramadan Start,['Observance'],Libya,LY
2023-04-21,Eid al-Fitr,['Muslim'],Libya,LY
2023-04-22,Eid al-Fitr Holiday,['Muslim'],Libya,LY
2023-04-23,Eid al-Fitr Holiday,['Muslim'],Libya,LY
2023-05-01,May Day,['National holiday'],Libya,LY
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Libya,LY
2023-06-27,Day of Arafah,['National holiday'],Libya,LY
2023-06-28,Eid al-Adha,['Muslim'],Libya,LY
2023-06-29,Eid al-Adha Holiday,['Muslim'],Libya,LY
2023-06-30,Eid al-Adha Holiday,['Muslim'],Libya,LY
2023-07-01,Eid al-Adha Holiday,['Muslim'],Libya,LY
2023-07-19,Muharram,['Muslim'],Libya,LY
2023-09-16,Martyrs' Day,['National holiday'],Libya,LY
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Libya,LY
2023-09-27,The Prophet's Birthday,['National holiday'],Libya,LY
2023-10-23,Liberation Day,['National holiday'],Libya,LY
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Libya,LY
2023-12-24,Independence Day,['National holiday'],Libya,LY
