Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Liechtenstein,LI
2023-01-02,Berchtold Day,['Common local holiday'],Liechtenstein,LI
2023-01-06,Epiphany,['National holiday'],Liechtenstein,LI
2023-02-02,Candlemas,['National holiday'],Liechtenstein,LI
2023-02-21,Carnival/Shrove Tuesday,['Common local holiday'],Liechtenstein,LI
2023-03-19,Father's Day,['Observance'],Liechtenstein,LI
2023-03-19,St Joseph's Day,['National holiday'],Liechtenstein,LI
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Liechtenstein,LI
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Liechtenstein,LI
2023-04-07,Good Friday,['Common local holiday'],Liechtenstein,LI
2023-04-09,Easter Sunday,['Observance'],Liechtenstein,LI
2023-04-10,Easter Monday,['National holiday'],Liechtenstein,LI
2023-05-01,Labour Day/May Day,['National holiday'],Liechtenstein,LI
2023-05-14,Mother's Day,['Observance'],Liechtenstein,LI
2023-05-18,Ascension Day,['National holiday'],Liechtenstein,LI
2023-05-28,Whit Sunday,['Observance'],Liechtenstein,LI
2023-05-29,Whit Monday,['National holiday'],Liechtenstein,LI
2023-06-08,Corpus Christi,['National holiday'],Liechtenstein,LI
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Liechtenstein,LI
2023-08-15,Liechtenstein National Day,['National holiday'],Liechtenstein,LI
2023-09-08,Nativity of Our Lady,['National holiday'],Liechtenstein,LI
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Liechtenstein,LI
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Liechtenstein,LI
2023-11-01,All Saints' Day,['National holiday'],Liechtenstein,LI
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Liechtenstein,LI
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Liechtenstein,LI
2023-12-24,Christmas Eve,['Common local holiday'],Liechtenstein,LI
2023-12-25,Christmas Day,['National holiday'],Liechtenstein,LI
2023-12-26,St Stephen's Day,['National holiday'],Liechtenstein,LI
2023-12-31,New Year's Eve,['Common local holiday'],Liechtenstein,LI
