Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Lithuania,LT
2023-02-14,Valentine's Day,['Observance'],Lithuania,LT
2023-02-16,Independence Restoration Day,['National holiday'],Lithuania,LT
2023-02-21,Carnival,['Observance'],Lithuania,LT
2023-03-11,Independence Day/National Day,['National holiday'],Lithuania,LT
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Lithuania,LT
2023-03-26T03:00:00+02:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Lithuania,LT
2023-04-07,Good Friday,['Observance'],Lithuania,LT
2023-04-08,Holy Saturday,['Observance'],Lithuania,LT
2023-04-09,Easter Sunday,['National holiday'],Lithuania,LT
2023-04-10,Easter Monday,['National holiday'],Lithuania,LT
2023-05-01,Labour Day,['National holiday'],Lithuania,LT
2023-05-07,Mothers' Day,['National holiday'],Lithuania,LT
2023-06-04,Fathers' Day,['National holiday'],Lithuania,LT
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Lithuania,LT
2023-06-24,St John's Day/Day of Dew,['National holiday'],Lithuania,LT
2023-07-06,King Mindaugas’ Coronation Day,['National holiday'],Lithuania,LT
2023-08-15,Feast of the Assumption of Mary,['National holiday'],Lithuania,LT
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Lithuania,LT
2023-10-29T04:00:00+03:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Lithuania,LT
2023-10-31,Halloween,['Observance'],Lithuania,LT
2023-11-01,All Saints' Day,['National holiday'],Lithuania,LT
2023-11-02,All Souls' Day,['National holiday'],Lithuania,LT
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Lithuania,LT
2023-12-24,Christmas Eve,['National holiday'],Lithuania,LT
2023-12-25,Christmas Day,['National holiday'],Lithuania,LT
2023-12-26,Second Day of Christmas,['National holiday'],Lithuania,LT
2023-12-31,New Year's Eve,['Observance'],Lithuania,LT
