Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Luxembourg,LU
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Luxembourg,LU
2023-04-07,Good Friday,['Common local holiday'],Luxembourg,LU
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Luxembourg,LU
2023-04-10,Easter Monday,['National holiday'],Luxembourg,LU
2023-05-01,Labor Day / May Day,['National holiday'],Luxembourg,LU
2023-05-09,Europe Day,['National holiday'],Luxembourg,LU
2023-05-18,Ascension Day,['National holiday'],Luxembourg,LU
2023-05-28,Whit Sunday,"['Observance', 'Christian']",Luxembourg,LU
2023-05-29,Whit Monday,['National holiday'],Luxembourg,LU
2023-06-11,Mother's Day,['Observance'],Luxembourg,LU
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Luxembourg,LU
2023-06-23,National Day,['National holiday'],Luxembourg,LU
2023-08-15,Assumption of Mary,['National holiday'],Luxembourg,LU
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Luxembourg,LU
2023-10-01,Father's Day,['Observance'],Luxembourg,LU
2023-11-01,All Saints' Day,['National holiday'],Luxembourg,LU
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Luxembourg,LU
2023-12-24,Christmas Eve,['Half-day holiday'],Luxembourg,LU
2023-12-25,Christmas Day,['National holiday'],Luxembourg,LU
2023-12-26,St Stephen's Day,['National holiday'],Luxembourg,LU
2023-12-31,New Year's Eve,['Observance'],Luxembourg,LU
