Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Macau,MO
2023-01-02,New Year Holiday,['National holiday'],Macau,MO
2023-01-22,Lunar New Year (First Day),['National holiday'],Macau,MO
2023-01-23,Lunar New Year (Second Day),['National holiday'],Macau,MO
2023-01-24,Lunar New Year (Third Day),['National holiday'],Macau,MO
2023-01-25,Lunar New Year Holiday,['National holiday'],Macau,MO
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Macau,MO
2023-04-05,Cheng Ming Festival,['National holiday'],Macau,MO
2023-04-07,Good Friday,['National holiday'],Macau,MO
2023-04-08,Holy Saturday,['National holiday'],Macau,MO
2023-04-10,Holy Saturday Holiday,['National holiday'],Macau,MO
2023-05-01,Labor Day / May Day,['National holiday'],Macau,MO
2023-05-26,Buddha's Birthday,['National holiday'],Macau,MO
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Macau,MO
2023-06-22,Dragon Boat Festival,['National holiday'],Macau,MO
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Macau,MO
2023-09-30,Day after the Mid-Autumn-Festival,['National holiday'],Macau,MO
2023-10-01,National Day of the People's Republic of China,['National holiday'],Macau,MO
2023-10-02,Day after PRC National Day,['National holiday'],Macau,MO
2023-10-04,PRC National Day Holiday,['National holiday'],Macau,MO
2023-10-23,Chong Yeung Festival (Festival of Ancestors),['National holiday'],Macau,MO
2023-11-02,All Soul's Day,['National holiday'],Macau,MO
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Macau,MO
2023-12-20,Macau S.A.R. Establishment Day,['National holiday'],Macau,MO
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Macau,MO
2023-12-22T11:27:21+08:00,Winter Solstice,['National holiday'],Macau,MO
2023-12-24,Christmas Eve,['National holiday'],Macau,MO
2023-12-25,Christmas Day,['National holiday'],Macau,MO
2023-12-26,Christmas Eve Holiday,['National holiday'],Macau,MO
2023-12-31,New Year's Eve,['Observance'],Macau,MO
