Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Madagascar,MG
2023-03-08,International Women's Day,['National holiday'],Madagascar,MG
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Madagascar,MG
2023-03-23,Ramadan Start,['Observance'],Madagascar,MG
2023-03-29,Martyrs' Day,['National holiday'],Madagascar,MG
2023-04-09,Easter Sunday,['National holiday'],Madagascar,MG
2023-04-10,Easter Monday,['National holiday'],Madagascar,MG
2023-04-21,Eid al-Fitr,['National holiday'],Madagascar,MG
2023-05-01,Labor Day,['National holiday'],Madagascar,MG
2023-05-18,Ascension Day,['National holiday'],Madagascar,MG
2023-05-28,Whit Sunday,['National holiday'],Madagascar,MG
2023-05-29,Whit Monday,['National holiday'],Madagascar,MG
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Madagascar,MG
2023-06-26,Independence Day,['National holiday'],Madagascar,MG
2023-06-28,Eid al-Adha,['National holiday'],Madagascar,MG
2023-08-15,Assumption of Mary,['National holiday'],Madagascar,MG
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Madagascar,MG
2023-11-01,All Saints' Day,['National holiday'],Madagascar,MG
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Madagascar,MG
2023-12-25,Christmas Day,['National holiday'],Madagascar,MG
2023-12-31,New Year's Eve,['Observance'],Madagascar,MG
