Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Malawi,MW
2023-01-02,Day off for New Year,['National holiday'],Malawi,MW
2023-01-15,John Chilembwe Day,['National holiday'],Malawi,MW
2023-01-16,Day off for John Chilembwe Day,['National holiday'],Malawi,MW
2023-03-03,Martyrs' Day,['National holiday'],Malawi,MW
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Malawi,MW
2023-03-23,Ramadan Start,['Observance'],Malawi,MW
2023-04-07,Good Friday,['National holiday'],Malawi,MW
2023-04-08,Easter Saturday,['Observance'],Malawi,MW
2023-04-10,Easter Monday,['National holiday'],Malawi,MW
2023-04-22,Eid al-Fitr,['National holiday'],Malawi,MW
2023-04-24,Day off for Eid al-Fitr,['National holiday'],Malawi,MW
2023-05-01,May Day,['National holiday'],Malawi,MW
2023-05-14,Kamuzu Day,['National holiday'],Malawi,MW
2023-05-15,Day off for Kamuzu Day,['National holiday'],Malawi,MW
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Malawi,MW
2023-07-06,Independence Day,['National holiday'],Malawi,MW
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Malawi,MW
2023-10-15,Mother's Day,['National holiday'],Malawi,MW
2023-10-16,Day off for Mother's Day,['National holiday'],Malawi,MW
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Malawi,MW
2023-12-25,Christmas Day,['National holiday'],Malawi,MW
2023-12-26,Boxing Day,['National holiday'],Malawi,MW
