Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Common local holiday'],Malaysia,MY
2023-01-02,New Year's Day observed,['Common local holiday'],Malaysia,MY
2023-01-14,Birthday of Yang di-Pertuan Besar,['Common local holiday'],Malaysia,MY
2023-01-22,Lunar New Year's Day,['National holiday'],Malaysia,MY
2023-01-23,Second Day of Lunar New Year,['National holiday'],Malaysia,MY
2023-01-23,Lunar New Year Holiday,['Common local holiday'],Malaysia,MY
2023-02-01,Federal Territory Day,['Common local holiday'],Malaysia,MY
2023-02-05,Thaipusam,['Common local holiday'],Malaysia,MY
2023-02-14,Valentine's Day,['Observance'],Malaysia,MY
2023-02-18,Isra and Mi'raj,['Common local holiday'],Malaysia,MY
2023-03-04,Anniversary of the Coronation of the Sultan of Terengganu,['Common local holiday'],Malaysia,MY
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Malaysia,MY
2023-03-23,First Day of Ramadan,['Common local holiday'],Malaysia,MY
2023-03-23,Birthday of the Sultan of Johor,['Common local holiday'],Malaysia,MY
2023-04-07,Good Friday,['Common local holiday'],Malaysia,MY
2023-04-08,Nuzul Al-Quran,['Common local holiday'],Malaysia,MY
2023-04-09,Easter Sunday,['Observance'],Malaysia,MY
2023-04-15,Declaration of Malacca as Historical City,['Common local holiday'],Malaysia,MY
2023-04-21,Hari Raya Puasa Holiday,['National holiday'],Malaysia,MY
2023-04-22,Hari Raya Puasa,['National holiday'],Malaysia,MY
2023-04-23,Hari Raya Puasa Day 2,['National holiday'],Malaysia,MY
2023-04-26,Birthday of the Sultan of Terengganu,['Common local holiday'],Malaysia,MY
2023-05-01,Labour Day,['National holiday'],Malaysia,MY
2023-05-04,Wesak Day,['National holiday'],Malaysia,MY
2023-05-22,Pahang State Holiday,['Common local holiday'],Malaysia,MY
2023-05-30,Harvest Festival,['Common local holiday'],Malaysia,MY
2023-05-31,Second Day of Harvest Festival,['Common local holiday'],Malaysia,MY
2023-06-01,Gawai Dayak,['Common local holiday'],Malaysia,MY
2023-06-02,Gawai Dayak Holiday,['Common local holiday'],Malaysia,MY
2023-06-05,The Yang di-Pertuan Agong's Birthday,['National holiday'],Malaysia,MY
2023-06-18,Sultan of Kedah's Birthday,['Common local holiday'],Malaysia,MY
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Malaysia,MY
2023-06-28,Day of Arafat,['Common local holiday'],Malaysia,MY
2023-06-29,Hari Raya Haji,['National holiday'],Malaysia,MY
2023-06-30,Hari Raya Haji (Day 2),['National holiday'],Malaysia,MY
2023-06-30,Hari Raya Haji (Day 2),['Common local holiday'],Malaysia,MY
2023-07-07,George Town World Heritage City Day,['Local holiday'],Malaysia,MY
2023-07-08,Penang Governor's Birthday,['Local holiday'],Malaysia,MY
2023-07-17,Birthday of the Raja of Perlis,['Local holiday'],Malaysia,MY
2023-07-19,Muharram/New Year,['National holiday'],Malaysia,MY
2023-07-22,Sarawak Independence Day,['Common local holiday'],Malaysia,MY
2023-07-30,Birthday of the Sultan of Pahang,['Common local holiday'],Malaysia,MY
2023-07-31,Birthday of the Sultan of Pahang observed,['Common local holiday'],Malaysia,MY
2023-08-23,Almarhum Sultan Iskandar Hol Day,['Common local holiday'],Malaysia,MY
2023-08-24,Birthday of the Governor of Malacca,['Common local holiday'],Malaysia,MY
2023-08-31,Malaysia's National Day,['National holiday'],Malaysia,MY
2023-09-16,Malaysia Day,['National holiday'],Malaysia,MY
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Malaysia,MY
2023-09-28,The Prophet Muhammad's Birthday,['National holiday'],Malaysia,MY
2023-10-07,Birthday of the Governor of Sabah,['Common local holiday'],Malaysia,MY
2023-10-14,Birthday of the Governor of Sarawak,['Common local holiday'],Malaysia,MY
2023-11-03,Birthday of the Sultan of Perak,['Common local holiday'],Malaysia,MY
2023-11-11,Birthday of the Sultan of Kelantan,['Common local holiday'],Malaysia,MY
2023-11-12,Diwali/Deepavali,['National holiday'],Malaysia,MY
2023-11-12,Birthday of the Sultan of Kelantan (Day 2),['Common local holiday'],Malaysia,MY
2023-12-11,Birthday of the Sultan of Selangor,['Common local holiday'],Malaysia,MY
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Malaysia,MY
2023-12-24,Christmas Eve,['Local holiday'],Malaysia,MY
2023-12-24,Christmas Eve,['Observance'],Malaysia,MY
2023-12-25,Christmas Day,['National holiday'],Malaysia,MY
2023-12-31,New Year's Eve,['Observance'],Malaysia,MY
