Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Maldives,MV
2023-02-06,Public Holiday,['National holiday'],Maldives,MV
2023-03-21T02:24:20+05:00,March Equinox,['Season'],Maldives,MV
2023-03-23,Ramadan Start,['National holiday'],Maldives,MV
2023-04-21,Eid-ul-Fithr,['National holiday'],Maldives,MV
2023-04-22,Eid-ul-Fithr Holiday,['National holiday'],Maldives,MV
2023-04-23,Eid-ul-Fithr Holiday,['National holiday'],Maldives,MV
2023-05-01,Labor Day / May Day,['National holiday'],Maldives,MV
2023-06-21T19:57:49+05:00,June Solstice,['Season'],Maldives,MV
2023-06-27,Hajj Day,['National holiday'],Maldives,MV
2023-06-28,Eid-ul Al'haa,['National holiday'],Maldives,MV
2023-06-29,Eid-ul Al'haa Holiday,['National holiday'],Maldives,MV
2023-06-30,Eid-ul Al'haa Holiday,['National holiday'],Maldives,MV
2023-07-01,Eid-ul Al'haa Holiday,['National holiday'],Maldives,MV
2023-07-19,Muharram/Islamic New Year,['National holiday'],Maldives,MV
2023-07-26,Independence Day,['National holiday'],Maldives,MV
2023-07-27,Independence Day Holiday,['National holiday'],Maldives,MV
2023-09-16,National Day,['National holiday'],Maldives,MV
2023-09-23T11:50:01+05:00,September Equinox,['Season'],Maldives,MV
2023-09-27,Milad un Nabi (Mawlid),['National holiday'],Maldives,MV
2023-10-16,The Day Maldives Embraced Islam,['National holiday'],Maldives,MV
2023-11-03,Victory Day,['National holiday'],Maldives,MV
2023-11-11,Republic Day,['National holiday'],Maldives,MV
2023-12-22T08:27:21+05:00,December Solstice,['Season'],Maldives,MV
