Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Mali,ML
2023-01-14,Day of Regained Sovereignty,['National holiday'],Mali,ML
2023-01-20,Army Day,['National holiday'],Mali,ML
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Mali,ML
2023-03-23,Ramadan Start,['Observance'],Mali,ML
2023-03-26,Martyrs' Day,['National holiday'],Mali,ML
2023-04-10,Easter Monday,['National holiday'],Mali,ML
2023-04-18,Leylatoul Qadr,['Observance'],Mali,ML
2023-04-21,Eid al-Fitr,['National holiday'],Mali,ML
2023-05-01,Workers' Day,['National holiday'],Mali,ML
2023-05-25,Africa Day,['National holiday'],Mali,ML
2023-05-29,Whit Monday,['Observance'],Mali,ML
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Mali,ML
2023-06-28,Eid al-Adha,['National holiday'],Mali,ML
2023-07-28,Ashura Holiday,['National holiday'],Mali,ML
2023-09-22,Independence Day,['National holiday'],Mali,ML
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Mali,ML
2023-09-27,The Prophet's Birthday,['National holiday'],Mali,ML
2023-10-05,Baptism of the Prophet,['National holiday'],Mali,ML
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Mali,ML
2023-12-25,Christmas Day,['National holiday'],Mali,ML
