Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Malta,MT
2023-02-10,Feast of Saint Paul's Shipwreck,['National holiday'],Malta,MT
2023-03-19,Feast of Saint Joseph,['National holiday'],Malta,MT
2023-03-31,Freedom Day,['National holiday'],Malta,MT
2023-04-07,Good Friday,['National holiday'],Malta,MT
2023-04-09,Easter Sunday,['Observance'],Malta,MT
2023-04-10,Easter Monday,['Observance'],Malta,MT
2023-04-10,Bank Holiday,['Observance'],Malta,MT
2023-05-01,Labour Day/May Day,['National holiday'],Malta,MT
2023-05-14,Mother's Day,['Observance'],Malta,MT
2023-06-07,Sette Giugno,['National holiday'],Malta,MT
2023-06-18,Father's Day,['Observance'],Malta,MT
2023-06-29,Feast of Saints Peter and Paul,['National holiday'],Malta,MT
2023-08-15,The Feast of Mary's Assumption,['National holiday'],Malta,MT
2023-09-08,The Feast of Our Lady of Victories,['National holiday'],Malta,MT
2023-09-21,Independence Day,['National holiday'],Malta,MT
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Malta,MT
2023-12-13,Republic Day,['National holiday'],Malta,MT
2023-12-24,Christmas Eve,['Observance'],Malta,MT
2023-12-25,Christmas Day,['National holiday'],Malta,MT
2023-12-26,Boxing Day,['Observance'],Malta,MT
2023-12-26,Bank Holiday,['Observance'],Malta,MT
2023-12-31,New Year's Eve,['Observance'],Malta,MT
