Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Marshall Islands,MH
2023-01-02,Day off for New Year's Day,['National holiday'],Marshall Islands,MH
2023-03-01,Remembrance Day,['National holiday'],Marshall Islands,MH
2023-03-21T09:24:20+12:00,March Equinox,['Season'],Marshall Islands,MH
2023-04-07,Good Friday,['National holiday'],Marshall Islands,MH
2023-05-01,Constitution Day,['National holiday'],Marshall Islands,MH
2023-06-22T02:57:49+12:00,June Solstice,['Season'],Marshall Islands,MH
2023-07-07,Fishermen's Day,['National holiday'],Marshall Islands,MH
2023-09-01,Labor Day,['National holiday'],Marshall Islands,MH
2023-09-23T18:50:01+12:00,September Equinox,['Season'],Marshall Islands,MH
2023-09-29,Manit Day,['National holiday'],Marshall Islands,MH
2023-11-17,President's Day,['National holiday'],Marshall Islands,MH
2023-12-01,Gospel Day,['National holiday'],Marshall Islands,MH
2023-12-22T15:27:21+12:00,December Solstice,['Season'],Marshall Islands,MH
2023-12-25,Christmas Day,['National holiday'],Marshall Islands,MH
2023-12-31,New Year's Eve,['Observance'],Marshall Islands,MH
