Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Mauritania,MR
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Mauritania,MR
2023-03-23,Ramadan Start,['Observance'],Mauritania,MR
2023-04-21,Eid ul-Fitr,['National holiday'],Mauritania,MR
2023-04-24,Eid ul-Fitr Holiday,['National holiday'],Mauritania,MR
2023-05-01,Labor Day / May Day,['National holiday'],Mauritania,MR
2023-05-25,Africa Day,['National holiday'],Mauritania,MR
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Mauritania,MR
2023-06-28,Eid al-Adha,['National holiday'],Mauritania,MR
2023-07-19,Muharram/Islamic New Year,['National holiday'],Mauritania,MR
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Mauritania,MR
2023-09-27,Milad un Nabi (Mawlid),['National holiday'],Mauritania,MR
2023-11-28,Independence Day,['National holiday'],Mauritania,MR
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Mauritania,MR
