Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Mauritius,MU
2023-01-02,New Year (Day 2),['National holiday'],Mauritius,MU
2023-01-22,Chinese Spring Festival,['National holiday'],Mauritius,MU
2023-02-01,Abolition of Slavery,['National holiday'],Mauritius,MU
2023-02-04,Thaipoosam Cavadee,['National holiday'],Mauritius,MU
2023-02-18,Maha Shivaratree,['National holiday'],Mauritius,MU
2023-03-08,Holi,['Hinduism'],Mauritius,MU
2023-03-12,National Day,['National holiday'],Mauritius,MU
2023-03-21T01:24:20+04:00,March Equinox,['Season'],Mauritius,MU
2023-03-22,Ougadi,['National holiday'],Mauritius,MU
2023-03-24,Ramadan Start,['Observance'],Mauritius,MU
2023-04-22,Eid al-Fitr,['National holiday'],Mauritius,MU
2023-05-01,Labour Day,['National holiday'],Mauritius,MU
2023-05-28,Mother's Day,['Observance'],Mauritius,MU
2023-06-18,Father's Day,['Observance'],Mauritius,MU
2023-06-21T18:57:49+04:00,June Solstice,['Season'],Mauritius,MU
2023-08-07,Janmashtami,['Hinduism'],Mauritius,MU
2023-08-30,Raksha Bandhan,['Hinduism'],Mauritius,MU
2023-09-20,Ganesh Chaturthi,['National holiday'],Mauritius,MU
2023-09-23T10:50:01+04:00,September Equinox,['Season'],Mauritius,MU
2023-10-24,Dussehra,['Hinduism'],Mauritius,MU
2023-11-01,All Saints Day,['National holiday'],Mauritius,MU
2023-11-02,Arrival of Indentured Labourers,['National holiday'],Mauritius,MU
2023-11-12,Divali,['National holiday'],Mauritius,MU
2023-12-22T07:27:21+04:00,December Solstice,['Season'],Mauritius,MU
2023-12-25,Christmas Day,['National holiday'],Mauritius,MU
