Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Mayotte,YT
2023-02-18,Mi'raj,['Observance'],Mayotte,YT
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Mayotte,YT
2023-03-24,Ramadan Start,['Observance'],Mayotte,YT
2023-04-10,Easter Monday,['National holiday'],Mayotte,YT
2023-04-22,Eid al-Fitr,['Observance'],Mayotte,YT
2023-04-27,Abolition Day,['National holiday'],Mayotte,YT
2023-05-01,Labour Day,['National holiday'],Mayotte,YT
2023-05-08,Victory Day,['Observance'],Mayotte,YT
2023-05-18,Ascension Day,['Observance'],Mayotte,YT
2023-05-28,Whit Sunday,['Observance'],Mayotte,YT
2023-05-29,Whit Monday,['Observance'],Mayotte,YT
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Mayotte,YT
2023-06-29,Eid al-Adha,['National holiday'],Mayotte,YT
2023-07-14,French National Day,['Observance'],Mayotte,YT
2023-08-15,Assumption of Mary,['Observance'],Mayotte,YT
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Mayotte,YT
2023-09-27,The Prophet's Birthday,['Observance'],Mayotte,YT
2023-11-01,All Saints' Day,['Observance'],Mayotte,YT
2023-11-11,Armistice Day,['Observance'],Mayotte,YT
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Mayotte,YT
2023-12-25,Christmas Day,['Observance'],Mayotte,YT
