Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Mexico,MX
2023-01-06,Day of the Holy Kings,['Observance'],Mexico,MX
2023-02-02,Candlemas,['Observance'],Mexico,MX
2023-02-05,Constitution Day,['Observance'],Mexico,MX
2023-02-06,Constitution Day,['National holiday'],Mexico,MX
2023-02-14,Valentine's Day,['Observance'],Mexico,MX
2023-02-22,Ash Wednesday,"['Observance', 'Christian']",Mexico,MX
2023-02-24,Flag Day,['Observance'],Mexico,MX
2023-03-18,Oil Expropriation Day,['Observance'],Mexico,MX
2023-03-20,Benito Juárez's Birthday Memorial,['National holiday'],Mexico,MX
2023-03-20T15:24:20-06:00,March Equinox,['Season'],Mexico,MX
2023-03-21,Benito Juárez's Birthday Memorial,['Observance'],Mexico,MX
2023-04-02,Palm Sunday,"['Observance', 'Christian']",Mexico,MX
2023-04-06,Maundy Thursday,"['Christian', 'Common local holiday']",Mexico,MX
2023-04-07,Good Friday,"['Christian', 'Common local holiday']",Mexico,MX
2023-04-08,Holy Saturday,['Observance'],Mexico,MX
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Mexico,MX
2023-04-30,Children's Day,['Observance'],Mexico,MX
2023-05-01,Labor Day / May Day,['National holiday'],Mexico,MX
2023-05-05,Battle of Puebla (Cinco de Mayo),['Common local holiday'],Mexico,MX
2023-05-10,Mother's Day,['Observance'],Mexico,MX
2023-05-15,Teacher's Day,['Observance'],Mexico,MX
2023-05-18,Ascension Day,['Observance'],Mexico,MX
2023-05-28,Whit Sunday,['Observance'],Mexico,MX
2023-06-08,Corpus Christi,['Observance'],Mexico,MX
2023-06-18,Father's Day,['Observance'],Mexico,MX
2023-06-21T08:57:49-06:00,June Solstice,['Season'],Mexico,MX
2023-08-15,Assumption of Mary,['Observance'],Mexico,MX
2023-09-15,Shout of Dolores,['Observance'],Mexico,MX
2023-09-16,Independence Day,['National holiday'],Mexico,MX
2023-09-23T00:50:01-06:00,September Equinox,['Season'],Mexico,MX
2023-10-12,Day of Race,['Observance'],Mexico,MX
2023-10-31,Halloween,['Observance'],Mexico,MX
2023-11-01,All Saints' Day,['Observance'],Mexico,MX
2023-11-02,All Souls' Day,['Observance'],Mexico,MX
2023-11-20,Revolution Day Memorial,['Observance'],Mexico,MX
2023-11-20,Revolution Day Memorial,['National holiday'],Mexico,MX
2023-11-26,Christ the King Day,['Observance'],Mexico,MX
2023-12-08,Feast of the Immaculate Conception,['Observance'],Mexico,MX
2023-12-12,Day of the Virgin of Guadalupe,"['Christian', 'Common local holiday']",Mexico,MX
2023-12-21T21:27:21-06:00,December Solstice,['Season'],Mexico,MX
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Mexico,MX
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Mexico,MX
2023-12-28,Day of the Holy Innocents,['Observance'],Mexico,MX
2023-12-31,New Year's Eve,['Observance'],Mexico,MX
