Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Micronesia,FM
2023-01-02,Day off for New Year's Day,['National holiday'],Micronesia,FM
2023-01-11,Kosrae Constitution Day,['Local holiday'],Micronesia,FM
2023-03-01,Yap Day,['Local holiday'],Micronesia,FM
2023-03-08,International Women's Day in Pohnpei,['Local holiday'],Micronesia,FM
2023-03-21T08:24:20+11:00,March Equinox,['Season'],Micronesia,FM
2023-03-31,Micronesia Culture Day,['National holiday'],Micronesia,FM
2023-04-07,Good Friday,['Local holiday'],Micronesia,FM
2023-05-10,Constitution Day,['National holiday'],Micronesia,FM
2023-06-22T01:57:49+11:00,June Solstice,['Season'],Micronesia,FM
2023-08-21,Gospel Day (Kosrae),['Local holiday'],Micronesia,FM
2023-09-08,Kosrae Liberation Day,['Local holiday'],Micronesia,FM
2023-09-11,Pohnpei Liberation Day,['Local holiday'],Micronesia,FM
2023-09-23T17:50:01+11:00,September Equinox,['Season'],Micronesia,FM
2023-10-01,Chuuk Constitution Day,['Local holiday'],Micronesia,FM
2023-10-02,Chuuk Constitution Day observed,['Local holiday'],Micronesia,FM
2023-10-24,United Nations Day,['National holiday'],Micronesia,FM
2023-11-03,Kosrae Self Government Day,['Local holiday'],Micronesia,FM
2023-11-03,Independence Day,['National holiday'],Micronesia,FM
2023-11-08,Pohnpei Constitution Day,['Local holiday'],Micronesia,FM
2023-11-10,Day off for Veterans of Foreign Wars Day,['National holiday'],Micronesia,FM
2023-11-11,Veterans of Foreign Wars Day,['National holiday'],Micronesia,FM
2023-11-23,Presidents Day,['National holiday'],Micronesia,FM
2023-11-23,Thanksgiving,['Local holiday'],Micronesia,FM
2023-12-22T14:27:21+11:00,December Solstice,['Season'],Micronesia,FM
2023-12-24,Yap Constitution Day,['Local holiday'],Micronesia,FM
2023-12-25,Christmas Day,['National holiday'],Micronesia,FM
2023-12-25,Yap Constitution Day observed,['Local holiday'],Micronesia,FM
