Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Moldova,MD
2023-01-02,Public Holiday,['National holiday'],Moldova,MD
2023-01-07,Orthodox Christmas Day,"['National holiday', 'Orthodox']",Moldova,MD
2023-01-08,Orthodox Christmas Day holiday,"['National holiday', 'Orthodox']",Moldova,MD
2023-01-15,Mihai Eminescu Commemoration Day,['Observance'],Moldova,MD
2023-01-27,Holocaust Remembrance Day,['Observance'],Moldova,MD
2023-01-28,Special working day,['Observance'],Moldova,MD
2023-02-14,Valentine's Day,['Observance'],Moldova,MD
2023-02-15,Day of Commemoration of the Victims of the Afghanistan War,['Observance'],Moldova,MD
2023-03-01,Martisor (first day of spring),['Observance'],Moldova,MD
2023-03-02,Remembrance and Gratitude Day,['Observance'],Moldova,MD
2023-03-08,International Women's Day,['National holiday'],Moldova,MD
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Moldova,MD
2023-03-26T02:00:00+02:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Moldova,MD
2023-04-07,Remembrance and Freedom Day,['Observance'],Moldova,MD
2023-04-14,Orthodox Good Friday,"['Observance', 'Orthodox']",Moldova,MD
2023-04-15,Orthodox Holy Saturday,"['Observance', 'Orthodox']",Moldova,MD
2023-04-15,Day of Victims of Organized Famine of 1946-1947,['Observance'],Moldova,MD
2023-04-16,Orthodox Easter Sunday,"['National holiday', 'Orthodox']",Moldova,MD
2023-04-17,Orthodox Easter Monday,"['National holiday', 'Orthodox']",Moldova,MD
2023-04-24,Memorial Day/Parents' Day,['National holiday'],Moldova,MD
2023-04-26,Day of Victims of Nuclear Accidents,['Observance'],Moldova,MD
2023-04-27,State Flag Day,['Observance'],Moldova,MD
2023-04-28,Occupational Health and Safety Day,['Observance'],Moldova,MD
2023-05-01,International Day of Solidarity of Workers,['National holiday'],Moldova,MD
2023-05-08,Public Holiday,['National holiday'],Moldova,MD
2023-05-09,Victory Day,['National holiday'],Moldova,MD
2023-05-09,Europe Day,['Observance'],Moldova,MD
2023-05-13,Special Working Day,['Observance'],Moldova,MD
2023-05-15,Family Day,['Observance'],Moldova,MD
2023-05-22,Bălți Day,['Local holiday'],Moldova,MD
2023-05-28,Dniester Day,['Observance'],Moldova,MD
2023-06-01,International Children's Day,['National holiday'],Moldova,MD
2023-06-05,World Environment Day,['Observance'],Moldova,MD
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Moldova,MD
2023-06-22,Victims of Fascism Day,['Observance'],Moldova,MD
2023-06-23,Statehood Day,['Observance'],Moldova,MD
2023-06-25,Peoples Port Day,['Observance'],Moldova,MD
2023-06-26,Day Against Illicit Drug Consumption and Trafficking,['Observance'],Moldova,MD
2023-06-30,Competition Day,['Observance'],Moldova,MD
2023-07-02,Stephen the Great Day,['Observance'],Moldova,MD
2023-07-06,Victims of Stalinism Day,['Observance'],Moldova,MD
2023-07-29,Constitution Day,['Observance'],Moldova,MD
2023-08-27,Independence Day,['National holiday'],Moldova,MD
2023-08-31,Language Day,['National holiday'],Moldova,MD
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Moldova,MD
2023-09-24,National Apple Festival,['Observance'],Moldova,MD
2023-09-30,National Apple Festival,['Observance'],Moldova,MD
2023-10-01,Wine Day,['Observance'],Moldova,MD
2023-10-07,Wine Day,['Observance'],Moldova,MD
2023-10-14,Chișinău Day,['Local holiday'],Moldova,MD
2023-10-16,National Food Day,['Observance'],Moldova,MD
2023-10-29T03:00:00+03:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Moldova,MD
2023-10-31,Halloween,['Observance'],Moldova,MD
2023-11-21,Cahul Day,['Local holiday'],Moldova,MD
2023-12-10,International Human Rights Day,['Observance'],Moldova,MD
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Moldova,MD
2023-12-24,Christmas Eve,['Observance'],Moldova,MD
2023-12-25,Christmas Day,['National holiday'],Moldova,MD
2023-12-31,New Year's Eve,['Observance'],Moldova,MD
