Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Monaco,MC
2023-01-02,Day off for New Year's Day,['National holiday'],Monaco,MC
2023-01-27,Saint Dévote's Day,['National holiday'],Monaco,MC
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Monaco,MC
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Monaco,MC
2023-04-07,Good Friday,['Observance'],Monaco,MC
2023-04-08,Holy Saturday,['Observance'],Monaco,MC
2023-04-09,Easter Sunday,['Observance'],Monaco,MC
2023-04-10,Easter Monday,['National holiday'],Monaco,MC
2023-05-01,Labour Day/May Day,['National holiday'],Monaco,MC
2023-05-18,Ascension Day,['National holiday'],Monaco,MC
2023-05-28,Whit Sunday,['Observance'],Monaco,MC
2023-05-29,Whit Monday,['National holiday'],Monaco,MC
2023-06-04,Mother's Day,['Observance'],Monaco,MC
2023-06-08,Corpus Christi,['National holiday'],Monaco,MC
2023-06-18,Father's Day,['Observance'],Monaco,MC
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Monaco,MC
2023-06-23,Saint John's Eve,['Observance'],Monaco,MC
2023-06-24,Saint John's Day,['Observance'],Monaco,MC
2023-08-08,Feast of Saint Roman Eve,['Observance'],Monaco,MC
2023-08-09,Feast of Saint Roman,['Observance'],Monaco,MC
2023-08-15,Assumption of Mary,['National holiday'],Monaco,MC
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Monaco,MC
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Monaco,MC
2023-11-01,All Saints' Day,['National holiday'],Monaco,MC
2023-11-19,National Day,['National holiday'],Monaco,MC
2023-11-20,Day off for National Day,['National holiday'],Monaco,MC
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Monaco,MC
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Monaco,MC
2023-12-24,Christmas Eve,['Observance'],Monaco,MC
2023-12-25,Christmas Day,['National holiday'],Monaco,MC
2023-12-31,New Year's Eve,['Observance'],Monaco,MC
