Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Mongolia,MN
2023-01-13,Constitution Day,['Observance'],Mongolia,MN
2023-02-14,Valentine's Day,['Observance'],Mongolia,MN
2023-02-21,Tsagaan Sar,['National holiday'],Mongolia,MN
2023-02-22,Tsagaan Sar Holiday,['National holiday'],Mongolia,MN
2023-02-23,Tsagaan Sar Holiday,['National holiday'],Mongolia,MN
2023-03-01,Patriots' Day,['Observance'],Mongolia,MN
2023-03-08,International Women's Day,['National holiday'],Mongolia,MN
2023-03-18,Soldiers' Day,['Observance'],Mongolia,MN
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Mongolia,MN
2023-04-07,Health Day,['Observance'],Mongolia,MN
2023-04-26,Intellectual Property Day,['Observance'],Mongolia,MN
2023-05-15,Family Day,['Observance'],Mongolia,MN
2023-06-01,Children's Day,['National holiday'],Mongolia,MN
2023-06-04,Great Buddha Day,['National holiday'],Mongolia,MN
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Mongolia,MN
2023-07-10,Political Flag Day,['Observance'],Mongolia,MN
2023-07-11,Naadam (National Day),['National holiday'],Mongolia,MN
2023-07-12,Naadam Holiday (National Day Holiday),['National holiday'],Mongolia,MN
2023-07-13,Naadam Holiday (National Day Holiday),['National holiday'],Mongolia,MN
2023-07-14,Naadam Holiday (National Day Holiday),['National holiday'],Mongolia,MN
2023-07-15,Naadam Holiday (National Day Holiday),['National holiday'],Mongolia,MN
2023-08-25,Youth's Day,['Observance'],Mongolia,MN
2023-09-10,Repression Victims' Day,['Observance'],Mongolia,MN
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Mongolia,MN
2023-10-01,Elders' Day,['Observance'],Mongolia,MN
2023-10-29,Capital City Day,['Observance'],Mongolia,MN
2023-11-14,Genghis Khan Day,['National holiday'],Mongolia,MN
2023-11-26,Republic's Day,['National holiday'],Mongolia,MN
2023-12-10,Human Rights Day,['Observance'],Mongolia,MN
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Mongolia,MN
2023-12-29,Independence Day,['National holiday'],Mongolia,MN
