Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Montenegro,ME
2023-01-02,New Year's Day Holiday,['National holiday'],Montenegro,ME
2023-01-03,New Year's Day observed,['National holiday'],Montenegro,ME
2023-01-06,Orthodox Christmas Eve,['Optional holiday'],Montenegro,ME
2023-01-07,Orthodox Christmas Day,['Optional holiday'],Montenegro,ME
2023-01-08,Orthodox Christmas Day Holiday,['Optional holiday'],Montenegro,ME
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Montenegro,ME
2023-04-07,Good Friday,['Optional holiday'],Montenegro,ME
2023-04-09,Easter Sunday,['Observance'],Montenegro,ME
2023-04-10,Easter Monday,['Optional holiday'],Montenegro,ME
2023-04-14,Orthodox Good Friday,['Optional holiday'],Montenegro,ME
2023-04-16,Orthodox Easter Sunday,['Optional holiday'],Montenegro,ME
2023-04-17,Orthodox Easter Monday,['Optional holiday'],Montenegro,ME
2023-04-21,Ramdan Bayram,['Optional holiday'],Montenegro,ME
2023-04-22,Ramdan Bayram Holiday,['Optional holiday'],Montenegro,ME
2023-04-23,Ramdan Bayram Holiday,['Optional holiday'],Montenegro,ME
2023-05-01,Labour Day/May Day,['National holiday'],Montenegro,ME
2023-05-02,Labour Day/May Day Holiday,['National holiday'],Montenegro,ME
2023-05-21,Independence Day,['National holiday'],Montenegro,ME
2023-05-22,Independence Day Holiday,['National holiday'],Montenegro,ME
2023-05-23,Independence Day observed,['National holiday'],Montenegro,ME
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Montenegro,ME
2023-06-28,Kurban Bayram,['Optional holiday'],Montenegro,ME
2023-06-29,Kurban Bayram Holiday,['Optional holiday'],Montenegro,ME
2023-06-30,Kurban Bayram Holiday,['Optional holiday'],Montenegro,ME
2023-07-13,Statehood Day,['National holiday'],Montenegro,ME
2023-07-14,Statehood Day Holiday,['National holiday'],Montenegro,ME
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Montenegro,ME
2023-09-25,Yom Kippur,['Optional holiday'],Montenegro,ME
2023-09-26,Yom Kippur Holiday,['Optional holiday'],Montenegro,ME
2023-11-01,All Saint's Day,['Optional holiday'],Montenegro,ME
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Montenegro,ME
2023-12-24,Mother's Day,['Observance'],Montenegro,ME
2023-12-24,Christmas Eve,['Optional holiday'],Montenegro,ME
2023-12-25,Christmas Day,['Optional holiday'],Montenegro,ME
2023-12-26,Day After Christmas,['Optional holiday'],Montenegro,ME
2023-12-31,New Year's Eve,['Observance'],Montenegro,ME
