Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Morocco,MA
2023-01-11,Anniversary of the Independence Manifesto,['National holiday'],Morocco,MA
2023-03-19T03:00:00+01:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Morocco,MA
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Morocco,MA
2023-03-23,Ramadan Start,['Observance'],Morocco,MA
2023-04-22,Eid al-Fitr,['National holiday'],Morocco,MA
2023-04-23,Eid al-Fitr holiday,['National holiday'],Morocco,MA
2023-04-23T02:00:00+00:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Morocco,MA
2023-04-24,Eid al-Fitr holiday,['Common local holiday'],Morocco,MA
2023-05-01,Labour Day/May Day,['National holiday'],Morocco,MA
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Morocco,MA
2023-06-29,Eid al-Adha,['National holiday'],Morocco,MA
2023-06-30,Eid al-Adha Holiday,['National holiday'],Morocco,MA
2023-07-19,Hijra New Year,['National holiday'],Morocco,MA
2023-07-30,Feast of the Throne,['National holiday'],Morocco,MA
2023-08-14,Anniversary of the Recovery Oued Ed-Dahab,['National holiday'],Morocco,MA
2023-08-20,Anniversary of the Revolution of the King and the People,['National holiday'],Morocco,MA
2023-08-21,Youth Day,['National holiday'],Morocco,MA
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Morocco,MA
2023-09-27,The Prophet Muhammad's Birthday,['National holiday'],Morocco,MA
2023-09-28,The Prophet Muhammad's Birthday Holiday,['National holiday'],Morocco,MA
2023-11-06,Anniversary of the Green March,['National holiday'],Morocco,MA
2023-11-18,Independence Day,['National holiday'],Morocco,MA
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Morocco,MA
