Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Mozambique,MZ
2023-01-02,New Year observed,['National holiday'],Mozambique,MZ
2023-02-03,Mozambican Heroes Day,['National holiday'],Mozambique,MZ
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Mozambique,MZ
2023-04-07,Good Friday,['Observance'],Mozambique,MZ
2023-04-07,Mozambican Woman's Day,['National holiday'],Mozambique,MZ
2023-05-01,May Day,['National holiday'],Mozambique,MZ
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Mozambique,MZ
2023-06-25,Independence Day,['National holiday'],Mozambique,MZ
2023-06-26,Independence Day observed,['National holiday'],Mozambique,MZ
2023-09-07,Victory Day,['National holiday'],Mozambique,MZ
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Mozambique,MZ
2023-09-25,Armed Forces Day,['National holiday'],Mozambique,MZ
2023-10-04,Peace and Reconciliation Day,['National holiday'],Mozambique,MZ
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Mozambique,MZ
2023-12-25,Family Day,['National holiday'],Mozambique,MZ
