Date,Name,Type,Country Name,Country Code
2023-01-01,New Year Holiday,['Observance'],Myanmar,MM
2023-01-04,Independence Day,['National holiday'],Myanmar,MM
2023-02-12,Union Day,['National holiday'],Myanmar,MM
2023-02-18,Maha Shivaratri,['Hinduism'],Myanmar,MM
2023-03-02,Peasants' Day,['National holiday'],Myanmar,MM
2023-03-05,Full Moon Day of Tabaung,['National holiday'],Myanmar,MM
2023-03-08,Holi,['Hinduism'],Myanmar,MM
2023-03-21T03:54:20+06:30,March Equinox,['Season'],Myanmar,MM
2023-03-27,Armed Forces' Day,['National holiday'],Myanmar,MM
2023-04-09,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-10,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-11,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-12,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-13,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-14,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-15,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-16,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-04-17,Maha Thingyan (Water Festival),['National holiday'],Myanmar,MM
2023-05-01,Labor Day / May Day,['National holiday'],Myanmar,MM
2023-05-03,Full Moon Day of Kasong,['National holiday'],Myanmar,MM
2023-06-21T21:27:49+06:30,June Solstice,['Season'],Myanmar,MM
2023-06-29,Eid al-Adha,['National holiday'],Myanmar,MM
2023-07-19,Martyrs' Day,['National holiday'],Myanmar,MM
2023-08-01,Full Moon Day of Waso (Beginning of Buddhist Lent),['National holiday'],Myanmar,MM
2023-08-30,Raksha Bandhan,['Hinduism'],Myanmar,MM
2023-09-06,Janmashtami,['Hinduism'],Myanmar,MM
2023-09-19,Ganesh Chaturthi,['Hinduism'],Myanmar,MM
2023-09-23T13:20:01+06:30,September Equinox,['Season'],Myanmar,MM
2023-10-15,Navaratri,['Hinduism'],Myanmar,MM
2023-10-24,Dussehra,['Hinduism'],Myanmar,MM
2023-10-28,Full Moon Day of Thadingyut Holiday (End of Buddhist Lent),['National holiday'],Myanmar,MM
2023-10-29,Full Moon Day of Thadingyut (End of Buddhist Lent),['National holiday'],Myanmar,MM
2023-10-30,Full Moon Day of Thadingyut Holiday (End of Buddhist Lent),['National holiday'],Myanmar,MM
2023-11-12,Diwali/Deepavali,['National holiday'],Myanmar,MM
2023-11-26,Full Moon Day of Tazaungmone Holiday,['National holiday'],Myanmar,MM
2023-11-27,Full Moon Day of Tazaungmone,['National holiday'],Myanmar,MM
2023-12-07,National Day,['National holiday'],Myanmar,MM
2023-12-22T09:57:21+06:30,December Solstice,['Season'],Myanmar,MM
2023-12-25,Christmas Day,['National holiday'],Myanmar,MM
