Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Namibia,NA
2023-01-02,New Year observed,['National holiday'],Namibia,NA
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Namibia,NA
2023-03-21,Independence Day,['National holiday'],Namibia,NA
2023-04-07,Good Friday,['National holiday'],Namibia,NA
2023-04-09,Easter Sunday,['Observance'],Namibia,NA
2023-04-10,Easter Monday,['National holiday'],Namibia,NA
2023-05-01,Workers' Day,['National holiday'],Namibia,NA
2023-05-04,Cassinga Day,['National holiday'],Namibia,NA
2023-05-18,Ascension Day,['National holiday'],Namibia,NA
2023-05-25,Africa Day,['National holiday'],Namibia,NA
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Namibia,NA
2023-08-26,Heroes' Day,['National holiday'],Namibia,NA
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Namibia,NA
2023-12-10,Day of the Namibian Women and International Human Rights Day,['National holiday'],Namibia,NA
2023-12-11,Day of the Namibian Women and International Human Rights Day observed,['National holiday'],Namibia,NA
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Namibia,NA
2023-12-25,Christmas Day,['National holiday'],Namibia,NA
2023-12-26,Family Day,['National holiday'],Namibia,NA
