Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Nauru,NR
2023-01-02,Day off for New Year's Day,['National holiday'],Nauru,NR
2023-01-31,Independence Day,['National holiday'],Nauru,NR
2023-02-01,Independence Day Holiday,['National holiday'],Nauru,NR
2023-03-08,International Women's Day,['National holiday'],Nauru,NR
2023-03-21T09:24:20+12:00,March Equinox,['Season'],Nauru,NR
2023-04-07,Good Friday,['National holiday'],Nauru,NR
2023-04-10,Easter Monday,['National holiday'],Nauru,NR
2023-04-11,Easter Tuesday,['National holiday'],Nauru,NR
2023-05-17,Constitution Day,['National holiday'],Nauru,NR
2023-06-22T02:57:49+12:00,June Solstice,['Season'],Nauru,NR
2023-07-01,RONPhos Handover,['National holiday'],Nauru,NR
2023-07-03,Day off for RONPhos Handover,['National holiday'],Nauru,NR
2023-08-19,Day of the Tribes,['National holiday'],Nauru,NR
2023-08-21,Day of the Tribes observed,['National holiday'],Nauru,NR
2023-09-23T18:50:01+12:00,September Equinox,['Season'],Nauru,NR
2023-09-25,Sir Hammer DeRoburt Day,['National holiday'],Nauru,NR
2023-10-26,Angam Day,['National holiday'],Nauru,NR
2023-12-22T15:27:21+12:00,December Solstice,['Season'],Nauru,NR
2023-12-25,Christmas Day,['National holiday'],Nauru,NR
2023-12-26,Boxing Day,['National holiday'],Nauru,NR
