Date,Name,Type,Country Name,Country Code
2023-01-11,Prithvi Jayanti,['National holiday'],Nepal,NP
2023-01-16,National Day of Mourning,['National holiday'],Nepal,NP
2023-01-22,Sonam Losar (Tamang New Year),['Optional holiday'],Nepal,NP
2023-01-26,Basant Panchami,['Optional holiday'],Nepal,NP
2023-02-13,People's War Day,['National holiday'],Nepal,NP
2023-02-18,Maha Shivaratri,['National holiday'],Nepal,NP
2023-02-19,National Democracy Day,['National holiday'],Nepal,NP
2023-03-08,Nari Dibas,['National holiday'],Nepal,NP
2023-03-21T03:09:20+05:45,March Equinox,['Season'],Nepal,NP
2023-03-21,Godhe Yatra,['Local holiday'],Nepal,NP
2023-04-14,Nepali New Year,['National holiday'],Nepal,NP
2023-04-22,Ramjan Edul Fikra,['Optional holiday'],Nepal,NP
2023-05-01,Majdoor Divas,['National holiday'],Nepal,NP
2023-05-05,Buddha Jayanti,['National holiday'],Nepal,NP
2023-05-29,Ganatantra Diwas (Republic Day),['National holiday'],Nepal,NP
2023-06-21T20:42:49+05:45,June Solstice,['Season'],Nepal,NP
2023-06-29,Edul Aajaha,['Optional holiday'],Nepal,NP
2023-08-30,Janai Purnima,['National holiday'],Nepal,NP
2023-09-01,Gai Jatra,['National holiday'],Nepal,NP
2023-09-06,Gaura Parba,['Optional holiday'],Nepal,NP
2023-09-06,Shree Krishna Janamashtami,['National holiday'],Nepal,NP
2023-09-18,Hartalika Teej,['Optional holiday'],Nepal,NP
2023-09-19,Constitution Day,['National holiday'],Nepal,NP
2023-09-23T12:35:01+05:45,September Equinox,['Season'],Nepal,NP
2023-09-28,Indra Jatra,['Local holiday'],Nepal,NP
2023-10-15,Ghatasthapana,['National holiday'],Nepal,NP
2023-10-21,Phulpati (Dashain),['National holiday'],Nepal,NP
2023-10-22,Astami (Dashain),['National holiday'],Nepal,NP
2023-10-23,Nawami (Dashain),['National holiday'],Nepal,NP
2023-10-24,Dashami (Dashain),['National holiday'],Nepal,NP
2023-10-25,Ekadashi (Dashain),['National holiday'],Nepal,NP
2023-11-11,Phalgunanda Jayanti,['Optional holiday'],Nepal,NP
2023-11-12,Laxmi Puja (Tihar),['National holiday'],Nepal,NP
2023-11-14,Gobhardan Pujan (Tihar),['National holiday'],Nepal,NP
2023-11-15,Bhai Tika (Tihar),['National holiday'],Nepal,NP
2023-11-19,Chhat Parwa,['National holiday'],Nepal,NP
2023-11-27,Guru Nanak Jayanti,['Optional holiday'],Nepal,NP
2023-12-03,International Day of Disabled Persons,['Optional holiday'],Nepal,NP
2023-12-22T09:12:21+05:45,December Solstice,['Season'],Nepal,NP
2023-12-25,Christmas Day,['Optional holiday'],Nepal,NP
2023-12-26,Udhauli Parva,['Optional holiday'],Nepal,NP
2023-12-30,Tamu Lhosar,['Optional holiday'],Nepal,NP
