Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Netherlands,NL
2023-02-14,Valentine's Day,['Observance'],Netherlands,NL
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Netherlands,NL
2023-04-07,Good Friday,['National holiday'],Netherlands,NL
2023-04-09,Easter Sunday,['National holiday'],Netherlands,NL
2023-04-10,Easter Monday,['National holiday'],Netherlands,NL
2023-04-27,King's Birthday,['National holiday'],Netherlands,NL
2023-05-04,Remembrance Day,['Observance'],Netherlands,NL
2023-05-05,Liberation Day,['National holiday'],Netherlands,NL
2023-05-14,Mother's Day,['Observance'],Netherlands,NL
2023-05-18,Ascension Day,['National holiday'],Netherlands,NL
2023-05-28,Whit Sunday,['National holiday'],Netherlands,NL
2023-05-29,Whit Monday,['National holiday'],Netherlands,NL
2023-06-18,Father's Day,['Observance'],Netherlands,NL
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Netherlands,NL
2023-07-01,Keti Koti,['Observance'],Netherlands,NL
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Netherlands,NL
2023-12-05,St Nicholas' Eve/Sinterklaas,['Observance'],Netherlands,NL
2023-12-06,St Nicholas' Day,['Observance'],Netherlands,NL
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Netherlands,NL
2023-12-24,Christmas Eve,['Observance'],Netherlands,NL
2023-12-25,Christmas Day,['National holiday'],Netherlands,NL
2023-12-26,Second Day of Christmas,['National holiday'],Netherlands,NL
2023-12-31,New Year's Eve,['Observance'],Netherlands,NL
